weather_id,timestamp,state,district,latitude,longitude,rainfall_1h_mm,rainfall_6h_mm,rainfall_24h_mm,rainfall_3day_mm,temperature_c,humidity_percent,wind_speed_kmph,pressure_hpa,weather_condition
W000032,2025-04-04 08:24:00,Arunachal Pradesh,Tawang,27.634,91.9935,0.8,2.3,3.4,11.3,6.9,59,39.6,732.8,LIGHT_RAIN
W000033,2025-04-04 10:48:00,Arunachal Pradesh,West Kameng,27.2414,92.3294,0.6,2.1,3.6,10.8,15.9,64,11.7,796.7,LIGHT_RAIN
W000034,2025-04-04 13:12:00,Arunachal Pradesh,Papum Pare,27.1643,93.5863,2.4,4.6,8.5,22.0,24.1,70,14.1,979.4,LIGHT_RAIN
W000035,2025-04-04 15:36:00,Arunachal Pradesh,East Siang,28.0713,95.2123,1.9,8.2,12.1,37.9,24.9,67,18.1,1001.1,LIGHT_RAIN
W000036,2025-04-04 18:00:00,Arunachal Pradesh,Lower Subansiri,27.5662,93.8565,3.3,5.1,10.8,34.0,31.3,61,30.0,866.2,LIGHT_RAIN
W000037,2025-04-04 20:24:00,Assam,Kamrup Metropolitan,26.0632,91.8578,2.6,6.0,11.5,33.0,26.6,54,24.6,1002.9,LIGHT_RAIN
W000038,2025-04-04 22:48:00,Assam,Kamrup Rural,26.1185,91.5576,2.3,5.2,8.7,22.4,22.0,73,22.8,1006.6,LIGHT_RAIN
W000039,2025-04-05 01:12:00,Assam,Darrang,26.4733,92.0228,2.5,7.4,11.4,27.9,27.4,74,13.8,1004.2,LIGHT_RAIN
W000040,2025-04-05 03:36:00,Assam,Sonitpur,26.5121,92.8403,2.1,6.3,7.6,20.9,33.0,53,9.6,1007.0,LIGHT_RAIN
W000041,2025-04-05 06:00:00,Assam,Dibrugarh,27.5415,94.964,0.4,1.6,2.6,8.2,25.9,72,29.1,1000.5,LIGHT_RAIN
W000042,2025-04-05 08:24:00,Assam,Cachar,24.7851,92.8874,1.0,3.2,3.9,10.8,24.3,52,40.5,1011.2,LIGHT_RAIN
W000043,2025-04-05 10:48:00,Assam,Nagaon,26.2373,92.589,0.6,2.9,3.5,7.9,22.9,52,20.7,1007.0,LIGHT_RAIN
W000044,2025-04-05 13:12:00,Meghalaya,East Khasi Hills,25.5617,92.0017,1.8,7.2,9.1,18.1,30.0,69,41.6,866.2,LIGHT_RAIN
W000045,2025-04-05 15:36:00,Meghalaya,West Khasi Hills,25.5222,91.1144,1.2,2.9,4.0,7.8,33.1,65,35.6,892.6,LIGHT_RAIN
W000046,2025-04-05 18:00:00,Meghalaya,Ri-Bhoi,25.7999,91.8757,2.1,8.6,11.3,32.0,31.8,55,37.8,962.5,LIGHT_RAIN
W000047,2025-04-05 20:24:00,Meghalaya,West Jaintia Hills,25.3494,92.0506,0.7,3.4,4.1,11.4,23.7,72,8.9,883.9,LIGHT_RAIN
W000048,2025-04-05 22:48:00,Sikkim,East Sikkim,27.3254,88.5834,2.3,6.7,7.9,17.7,8.0,76,17.2,848.3,LIGHT_RAIN
W000049,2025-04-06 01:12:00,Sikkim,North Sikkim,27.5655,88.4464,0.6,2.6,3.8,9.8,10.3,65,18.6,775.4,LIGHT_RAIN
W000050,2025-04-06 03:36:00,Sikkim,South Sikkim,27.2407,88.2183,3.2,6.2,12.2,24.2,23.9,77,21.7,887.8,LIGHT_RAIN
W000051,2025-04-06 06:00:00,Nagaland,Kohima,25.676,94.2144,0.2,0.7,1.1,2.5,22.9,48,14.2,876.0,LIGHT_RAIN
W000052,2025-04-06 08:24:00,Nagaland,Dimapur,26.0122,93.5981,2.0,5.3,10.8,23.8,27.8,66,35.1,999.2,LIGHT_RAIN
W000053,2025-04-06 10:48:00,Nagaland,Mokokchung,26.211,94.6371,1.3,5.2,8.2,24.2,23.3,59,32.6,886.7,LIGHT_RAIN
W000054,2025-04-06 13:12:00,Manipur,Imphal West,24.6916,93.984,0.4,1.5,1.8,4.7,24.0,73,29.4,935.1,LIGHT_RAIN
W000055,2025-04-06 15:36:00,Manipur,Bishnupur,24.5437,93.8294,1.2,4.5,5.6,11.8,22.3,66,12.1,940.7,LIGHT_RAIN
W000056,2025-04-06 18:00:00,Manipur,Senapati,25.3037,93.9972,2.0,5.1,11.3,31.5,30.6,74,38.7,885.0,LIGHT_RAIN
W000057,2025-04-06 20:24:00,Mizoram,Aizawl,23.7146,92.8671,0.7,2.1,4.4,9.5,23.4,58,15.8,907.2,LIGHT_RAIN
W000058,2025-04-06 22:48:00,Mizoram,Kolasib,24.1496,92.81,0.6,2.3,4.6,10.2,32.0,51,29.8,948.3,LIGHT_RAIN
W000059,2025-04-07 01:12:00,Mizoram,Lunglei,22.8155,92.7215,1.1,2.0,4.2,13.3,28.3,65,29.7,912.4,LIGHT_RAIN
W000060,2025-04-07 03:36:00,Tripura,West Tripura,23.9777,91.333,0.9,1.8,3.7,10.9,25.3,51,41.0,1011.2,LIGHT_RAIN
W000061,2025-04-07 06:00:00,Tripura,Sipahijala,23.7645,91.1931,1.2,5.5,7.0,19.9,30.8,69,26.3,1005.0,LIGHT_RAIN
W000062,2025-04-07 08:24:00,Tripura,Dhalai,23.7321,91.866,0.2,1.3,1.5,2.9,32.0,62,9.4,1002.0,LIGHT_RAIN
W000063,2025-04-07 10:48:00,Arunachal Pradesh,Tawang,27.539,91.9156,1.4,4.7,6.9,23.1,16.6,70,28.0,724.2,LIGHT_RAIN
W000064,2025-04-07 13:12:00,Arunachal Pradesh,West Kameng,27.3861,92.5197,3.0,6.7,13.8,44.3,17.3,52,23.9,802.4,LIGHT_RAIN
W000065,2025-04-07 15:36:00,Arunachal Pradesh,Papum Pare,26.9636,93.5667,1.4,4.7,7.6,15.1,28.8,67,34.7,986.2,LIGHT_RAIN
W000066,2025-04-07 18:00:00,Arunachal Pradesh,East Siang,28.1384,95.3415,1.2,2.6,5.0,15.0,24.2,71,31.8,998.6,LIGHT_RAIN
W000067,2025-04-07 20:24:00,Arunachal Pradesh,Lower Subansiri,27.6835,93.8873,2.3,6.1,9.9,21.4,31.6,55,24.4,864.3,LIGHT_RAIN
W000068,2025-04-07 22:48:00,Assam,Kamrup Metropolitan,26.1693,91.6306,2.8,5.5,9.2,30.2,33.2,67,18.8,1011.2,LIGHT_RAIN
W000069,2025-04-08 01:12:00,Assam,Kamrup Rural,26.3149,91.7037,1.6,3.2,5.2,14.2,24.2,74,8.3,1011.2,LIGHT_RAIN
W000070,2025-04-08 03:36:00,Assam,Darrang,26.3769,91.9118,0.2,1.1,1.5,4.3,30.3,53,38.0,1004.3,LIGHT_RAIN
W000071,2025-04-08 06:00:00,Assam,Sonitpur,26.776,92.8674,0.7,2.6,4.2,11.7,25.3,53,8.4,999.9,LIGHT_RAIN
W000072,2025-04-08 08:24:00,Assam,Dibrugarh,27.6157,95.0052,1.9,6.1,11.9,39.1,23.1,65,14.0,997.5,LIGHT_RAIN
W000073,2025-04-08 10:48:00,Assam,Cachar,24.9606,92.8636,0.0,0.1,0.2,0.5,24.2,68,9.4,1011.2,CLEAR
W000074,2025-04-08 13:12:00,Assam,Nagaon,26.4384,92.614,0.7,4.7,5.7,18.5,32.8,49,27.7,1003.0,LIGHT_RAIN
W000075,2025-04-08 15:36:00,Meghalaya,East Khasi Hills,25.4404,91.8845,1.0,3.9,6.0,14.0,22.5,69,28.9,870.6,LIGHT_RAIN
W000076,2025-04-08 18:00:00,Meghalaya,West Khasi Hills,25.4516,91.3486,0.2,0.5,0.7,1.6,31.9,64,14.0,890.8,CLEAR
W000077,2025-04-08 20:24:00,Meghalaya,Ri-Bhoi,25.8695,91.8136,0.7,1.1,2.2,7.3,24.9,73,31.6,964.4,LIGHT_RAIN
W000078,2025-04-08 22:48:00,Meghalaya,West Jaintia Hills,25.4924,92.1699,0.7,3.9,5.9,15.3,30.6,57,17.6,878.3,LIGHT_RAIN
W000079,2025-04-09 01:12:00,Sikkim,East Sikkim,27.2235,88.7476,0.4,1.0,1.6,5.1,12.0,61,12.4,855.2,LIGHT_RAIN
W000080,2025-04-09 03:36:00,Sikkim,North Sikkim,27.3615,88.579,1.1,2.9,3.9,9.5,6.7,57,23.7,774.7,LIGHT_RAIN
W000081,2025-04-09 06:00:00,Sikkim,South Sikkim,27.2019,88.3534,0.6,1.8,2.8,7.1,23.9,54,11.8,886.9,LIGHT_RAIN
W000082,2025-04-09 08:24:00,Nagaland,Kohima,25.5384,94.0894,4.5,10.5,13.8,28.6,30.4,71,16.8,871.5,LIGHT_RAIN
W000083,2025-04-09 10:48:00,Nagaland,Dimapur,25.9726,93.8001,3.4,5.7,10.0,33.1,31.3,59,17.4,991.6,LIGHT_RAIN
W000084,2025-04-09 13:12:00,Nagaland,Mokokchung,26.4597,94.6462,1.7,8.6,11.4,29.5,28.0,67,21.2,882.0,LIGHT_RAIN
W000085,2025-04-09 15:36:00,Manipur,Imphal West,24.8829,93.8769,1.7,4.1,5.1,15.4,27.5,68,34.9,938.3,LIGHT_RAIN
W000086,2025-04-09 18:00:00,Manipur,Bishnupur,24.6916,93.7808,1.4,7.1,8.5,26.6,33.4,72,24.1,941.3,LIGHT_RAIN
W000087,2025-04-09 20:24:00,Manipur,Senapati,25.3132,94.1308,1.7,8.1,12.0,23.2,23.1,73,29.1,888.9,LIGHT_RAIN
W000088,2025-04-09 22:48:00,Mizoram,Aizawl,23.8272,92.6588,1.3,5.8,7.9,15.5,24.2,64,23.1,905.8,LIGHT_RAIN
W000089,2025-04-10 01:12:00,Mizoram,Kolasib,24.2664,92.6695,0.7,2.8,3.7,8.0,25.5,60,19.4,953.8,LIGHT_RAIN
W000090,2025-04-10 03:36:00,Mizoram,Lunglei,22.9681,92.8779,0.9,1.9,2.7,6.9,31.9,48,20.2,909.9,LIGHT_RAIN
W000091,2025-04-10 06:00:00,Tripura,West Tripura,23.8361,91.3267,1.0,3.1,4.1,10.1,31.9,60,27.3,1011.2,LIGHT_RAIN
W000092,2025-04-10 08:24:00,Tripura,Sipahijala,23.5555,91.2551,0.9,2.1,3.9,9.9,31.2,49,8.4,1005.9,LIGHT_RAIN
W000093,2025-04-10 10:48:00,Tripura,Dhalai,23.7735,91.8425,3.4,7.2,13.4,43.0,30.1,57,33.2,994.8,LIGHT_RAIN
W000094,2025-04-10 13:12:00,Arunachal Pradesh,Tawang,27.7019,91.8821,0.5,2.8,3.8,8.6,15.5,66,36.4,726.0,LIGHT_RAIN
W000095,2025-04-10 15:36:00,Arunachal Pradesh,West Kameng,27.1877,92.4627,0.1,0.3,0.5,1.0,14.2,49,24.6,803.5,CLEAR
W000096,2025-04-10 18:00:00,Arunachal Pradesh,Papum Pare,27.216,93.7001,1.9,4.4,9.1,20.3,28.6,75,16.9,985.0,LIGHT_RAIN
W000097,2025-04-10 20:24:00,Arunachal Pradesh,East Siang,28.0714,95.1911,0.4,2.2,3.0,6.1,31.8,73,40.7,1000.9,LIGHT_RAIN
W000098,2025-04-10 22:48:00,Arunachal Pradesh,Lower Subansiri,27.44,93.8194,1.1,4.0,4.9,15.6,23.7,74,33.7,859.6,LIGHT_RAIN
W000099,2025-04-11 01:12:00,Assam,Kamrup Metropolitan,26.2795,91.8536,1.9,4.6,5.7,17.5,26.8,56,31.6,1006.0,LIGHT_RAIN
W000100,2025-04-11 03:36:00,Assam,Kamrup Rural,26.163,91.6841,2.2,5.4,7.3,20.1,34.2,52,24.2,1007.8,LIGHT_RAIN
W000101,2025-04-11 06:00:00,Assam,Darrang,26.4444,91.9588,2.5,4.8,9.7,29.7,26.0,49,23.5,1010.9,LIGHT_RAIN
W000102,2025-04-11 08:24:00,Assam,Sonitpur,26.7171,92.788,2.9,5.4,11.8,39.7,26.7,70,22.6,1008.5,LIGHT_RAIN
W000103,2025-04-11 10:48:00,Assam,Dibrugarh,27.4085,94.8435,0.6,3.5,4.7,12.1,33.9,65,16.4,1004.6,LIGHT_RAIN
W000104,2025-04-11 13:12:00,Assam,Cachar,24.7285,92.7438,0.1,0.2,0.4,0.9,32.6,62,34.9,1011.2,CLEAR
W000105,2025-04-11 15:36:00,Assam,Nagaon,26.3175,92.6968,3.1,6.4,12.7,38.1,27.5,74,24.2,1007.6,LIGHT_RAIN
W000106,2025-04-11 18:00:00,Meghalaya,East Khasi Hills,25.5456,91.9742,1.5,3.9,8.0,15.4,28.7,63,25.2,864.3,LIGHT_RAIN
W000107,2025-04-11 20:24:00,Meghalaya,West Khasi Hills,25.5327,91.2531,1.1,2.7,4.6,12.9,32.7,59,33.5,881.9,LIGHT_RAIN
W000108,2025-04-11 22:48:00,Meghalaya,Ri-Bhoi,26.006,92.016,1.3,5.8,8.0,17.2,28.7,66,36.8,960.0,LIGHT_RAIN
W000109,2025-04-12 01:12:00,Meghalaya,West Jaintia Hills,25.54,92.3193,3.7,4.9,10.6,33.6,32.4,67,36.8,882.7,LIGHT_RAIN
W000110,2025-04-12 03:36:00,Sikkim,East Sikkim,27.1976,88.5573,3.1,8.0,11.8,24.9,7.9,61,16.9,849.0,LIGHT_RAIN
W000111,2025-04-12 06:00:00,Sikkim,North Sikkim,27.6022,88.6759,2.6,8.8,12.0,24.2,16.4,68,23.1,771.2,LIGHT_RAIN
W000112,2025-04-12 08:24:00,Sikkim,South Sikkim,27.1976,88.3989,1.0,4.5,5.7,17.3,27.2,52,39.7,890.7,LIGHT_RAIN
W000113,2025-04-12 10:48:00,Nagaland,Kohima,25.6636,93.9737,3.1,6.1,9.5,31.5,29.5,53,36.5,873.3,LIGHT_RAIN
W000114,2025-04-12 13:12:00,Nagaland,Dimapur,25.8581,93.8414,1.6,10.0,11.8,36.9,34.1,62,27.1,996.5,LIGHT_RAIN
W000115,2025-04-12 15:36:00,Nagaland,Mokokchung,26.2507,94.3946,1.1,4.7,5.9,13.0,32.5,61,23.6,889.5,LIGHT_RAIN
W000116,2025-04-12 18:00:00,Manipur,Imphal West,24.9526,93.8541,1.6,7.9,12.8,40.3,29.9,53,28.0,941.4,LIGHT_RAIN
W000117,2025-04-12 20:24:00,Manipur,Bishnupur,24.7087,93.8994,0.4,1.6,2.2,5.9,34.4,55,38.1,941.2,LIGHT_RAIN
W000118,2025-04-12 22:48:00,Manipur,Senapati,25.1816,94.0021,1.6,5.5,9.4,27.5,30.3,68,11.8,895.2,LIGHT_RAIN
W000119,2025-04-13 01:12:00,Mizoram,Aizawl,23.7869,92.7977,1.3,4.2,5.0,12.9,34.9,65,10.2,906.3,LIGHT_RAIN
W000120,2025-04-13 03:36:00,Mizoram,Kolasib,24.2855,92.7633,1.2,2.5,4.8,11.8,35.0,63,40.6,957.3,LIGHT_RAIN
W000121,2025-04-13 06:00:00,Mizoram,Lunglei,22.7377,92.6836,0.9,2.5,3.8,11.6,30.6,55,9.8,910.7,LIGHT_RAIN
W000122,2025-04-13 08:24:00,Tripura,West Tripura,23.9639,91.1963,0.7,1.5,2.1,6.3,28.1,64,22.1,1008.3,LIGHT_RAIN
W000123,2025-04-13 10:48:00,Tripura,Sipahijala,23.5156,91.3937,2.3,4.2,7.0,17.3,30.3,67,31.0,1005.4,LIGHT_RAIN
W000124,2025-04-13 13:12:00,Tripura,Dhalai,23.9389,91.8698,1.3,3.3,4.8,14.6,33.7,49,20.9,1004.9,LIGHT_RAIN
W000125,2025-04-13 15:36:00,Arunachal Pradesh,Tawang,27.5473,91.8612,3.8,8.1,11.9,35.5,8.1,73,25.4,730.7,LIGHT_RAIN
W000126,2025-04-13 18:00:00,Arunachal Pradesh,West Kameng,27.2616,92.396,0.8,2.9,4.6,9.1,12.0,76,41.2,799.0,LIGHT_RAIN
W000127,2025-04-13 20:24:00,Arunachal Pradesh,Papum Pare,27.1626,93.5972,1.1,3.6,5.8,11.4,22.4,66,9.1,978.6,LIGHT_RAIN
W000128,2025-04-13 22:48:00,Arunachal Pradesh,East Siang,28.1008,95.4519,2.9,7.1,9.0,23.2,27.2,63,28.4,994.2,LIGHT_RAIN
W000129,2025-04-14 01:12:00,Arunachal Pradesh,Lower Subansiri,27.6193,93.7605,0.9,4.6,5.8,13.6,9.9,63,33.6,855.5,LIGHT_RAIN
W000130,2025-04-14 03:36:00,Assam,Kamrup Metropolitan,26.0782,91.7214,0.1,0.3,0.4,1.1,30.6,76,40.3,1004.3,CLEAR
W000131,2025-04-14 06:00:00,Assam,Kamrup Rural,26.1487,91.4206,0.7,1.8,2.6,5.3,27.4,48,39.9,1002.8,LIGHT_RAIN
W000132,2025-04-14 08:24:00,Assam,Darrang,26.4084,91.9585,2.7,7.7,9.6,23.8,23.4,71,21.8,1010.6,LIGHT_RAIN
W000133,2025-04-14 10:48:00,Assam,Sonitpur,26.5667,92.6456,0.5,1.2,1.9,6.0,25.1,51,9.9,1009.1,LIGHT_RAIN
W000134,2025-04-14 13:12:00,Assam,Dibrugarh,27.4694,94.9894,1.7,8.7,10.6,23.2,33.7,55,17.2,999.9,LIGHT_RAIN
W000135,2025-04-14 15:36:00,Assam,Cachar,24.8178,92.6341,1.2,3.2,4.6,10.0,25.3,77,31.1,1011.2,LIGHT_RAIN
W000136,2025-04-14 18:00:00,Assam,Nagaon,26.2871,92.7085,4.0,5.9,12.3,23.6,31.7,72,39.6,1006.9,LIGHT_RAIN
W000137,2025-04-14 20:24:00,Meghalaya,East Khasi Hills,25.7278,91.9084,0.3,1.6,2.0,4.4,29.8,65,39.9,868.7,LIGHT_RAIN
W000138,2025-04-14 22:48:00,Meghalaya,West Khasi Hills,25.4354,91.1462,0.4,1.3,2.2,4.2,29.2,55,23.3,891.3,LIGHT_RAIN
W000139,2025-04-15 01:12:00,Meghalaya,Ri-Bhoi,26.0353,91.937,3.8,5.5,11.5,32.4,30.4,61,12.5,962.8,LIGHT_RAIN
W000140,2025-04-15 03:36:00,Meghalaya,West Jaintia Hills,25.5174,92.343,1.9,6.1,10.6,33.6,33.6,57,20.0,882.2,LIGHT_RAIN
W000141,2025-04-15 06:00:00,Sikkim,East Sikkim,27.4387,88.5454,0.9,1.7,3.1,9.4,14.5,72,34.9,852.9,LIGHT_RAIN
W000142,2025-04-15 08:24:00,Sikkim,North Sikkim,27.5102,88.4823,2.0,5.0,10.9,24.7,11.1,69,36.6,778.4,LIGHT_RAIN
W000143,2025-04-15 10:48:00,Sikkim,South Sikkim,27.0579,88.4605,3.1,6.3,12.6,40.5,29.4,77,16.5,885.6,LIGHT_RAIN
W000144,2025-04-15 13:12:00,Nagaland,Kohima,25.6104,94.1022,1.7,3.2,5.2,11.1,24.6,51,22.5,873.7,LIGHT_RAIN
W000145,2025-04-15 15:36:00,Nagaland,Dimapur,26.0391,93.7208,1.6,3.7,5.3,15.0,28.9,56,10.5,989.7,LIGHT_RAIN
W000146,2025-04-15 18:00:00,Nagaland,Mokokchung,26.3481,94.5759,1.0,4.1,5.2,17.4,33.1,67,13.9,887.9,LIGHT_RAIN
W000147,2025-04-15 20:24:00,Manipur,Imphal West,24.7582,94.085,3.6,5.5,10.5,28.2,24.4,76,27.2,940.7,LIGHT_RAIN
W000148,2025-04-15 22:48:00,Manipur,Bishnupur,24.6612,93.8,0.4,1.1,1.8,6.0,34.3,65,21.9,933.9,LIGHT_RAIN
W000149,2025-04-16 01:12:00,Manipur,Senapati,25.2428,94.118,0.5,1.8,2.6,7.2,33.6,66,35.9,891.3,LIGHT_RAIN
W000150,2025-04-16 03:36:00,Mizoram,Aizawl,23.76,92.7896,2.4,6.3,8.2,24.6,25.2,57,26.8,898.8,LIGHT_RAIN
W000151,2025-04-16 06:00:00,Mizoram,Kolasib,24.2681,92.5771,2.3,4.5,6.7,17.4,28.4,66,20.7,957.1,LIGHT_RAIN
W000152,2025-04-16 08:24:00,Mizoram,Lunglei,22.8526,92.7968,1.3,5.5,10.9,24.9,24.2,63,37.5,913.2,LIGHT_RAIN
W000153,2025-04-16 10:48:00,Tripura,West Tripura,23.8936,91.3477,0.9,1.9,3.5,8.4,29.8,70,41.2,1010.0,LIGHT_RAIN
W000154,2025-04-16 13:12:00,Tripura,Sipahijala,23.5644,91.3994,1.3,4.2,8.4,16.1,22.1,49,18.1,1008.6,LIGHT_RAIN
W000155,2025-04-16 15:36:00,Tripura,Dhalai,23.8275,91.8634,2.5,5.8,9.1,22.7,32.9,69,40.1,997.3,LIGHT_RAIN
W000156,2025-04-16 18:00:00,Arunachal Pradesh,Tawang,27.4788,91.7273,2.5,9.5,13.4,30.0,6.9,56,39.8,725.0,LIGHT_RAIN
W000157,2025-04-16 20:24:00,Arunachal Pradesh,West Kameng,27.2853,92.3525,0.2,0.5,1.0,2.7,13.1,57,38.6,802.0,CLEAR
W000158,2025-04-16 22:48:00,Arunachal Pradesh,Papum Pare,27.0712,93.5483,2.7,5.5,11.8,33.3,27.7,57,30.8,981.0,LIGHT_RAIN
W000159,2025-04-17 01:12:00,Arunachal Pradesh,East Siang,27.928,95.3056,1.2,3.0,4.2,12.4,25.9,48,29.1,999.9,LIGHT_RAIN
W000160,2025-04-17 03:36:00,Arunachal Pradesh,Lower Subansiri,27.4687,93.8823,1.5,6.5,9.9,22.3,16.1,48,39.7,855.4,LIGHT_RAIN
W000161,2025-04-17 06:00:00,Assam,Kamrup Metropolitan,26.2944,91.7879,3.0,11.5,13.9,28.5,34.3,64,29.1,1010.4,LIGHT_RAIN
W000162,2025-04-17 08:24:00,Assam,Kamrup Rural,26.0876,91.5677,0.6,1.4,1.8,5.7,29.1,77,35.8,1007.9,LIGHT_RAIN
W000163,2025-04-17 10:48:00,Assam,Darrang,26.4776,92.0714,2.9,5.6,9.1,19.1,22.1,62,20.4,1007.9,LIGHT_RAIN
W000164,2025-04-17 13:12:00,Assam,Sonitpur,26.6063,92.7389,1.1,6.1,8.8,22.1,34.2,60,19.3,1010.2,LIGHT_RAIN
W000165,2025-04-17 15:36:00,Assam,Dibrugarh,27.5309,94.8485,2.0,4.8,6.7,20.1,34.5,56,36.8,996.7,LIGHT_RAIN
W000166,2025-04-17 18:00:00,Assam,Cachar,24.6943,92.6553,1.3,2.5,4.3,9.8,31.2,57,40.8,1011.2,LIGHT_RAIN
W000167,2025-04-17 20:24:00,Assam,Nagaon,26.3165,92.6884,2.1,6.4,9.2,29.2,23.3,49,24.7,1011.2,LIGHT_RAIN
W000168,2025-04-17 22:48:00,Meghalaya,East Khasi Hills,25.5528,91.7996,0.4,1.8,2.8,9.4,22.8,60,33.8,868.6,LIGHT_RAIN
W000169,2025-04-18 01:12:00,Meghalaya,West Khasi Hills,25.4926,91.1255,1.7,5.0,10.7,31.5,32.8,70,27.9,890.3,LIGHT_RAIN
W000170,2025-04-18 03:36:00,Meghalaya,Ri-Bhoi,25.8814,91.9395,2.6,6.6,10.1,22.1,28.0,53,32.9,963.7,LIGHT_RAIN
