network_id,timestamp,state,district,latitude,longitude,operator,network_type,availability_percent,signal_dbm,download_mbps,upload_mbps,latency_ms,packet_loss_percent,call_drop_percent,status,confidence
N000059,2026-06-18 10:54:00,Mizoram,Lunglei,22.8155,92.7215,Airtel,2G,79,-89,11.4,2.2,140,2.6,1.4,POOR,0.88
N000060,2026-06-18 10:57:00,Tripura,West Tripura,23.9777,91.333,BSNL,4G,93,-52,67.6,22.6,22,1.3,0.7,GOOD,0.94
N000061,2026-06-18 11:00:00,Tripura,Sipahijala,23.7645,91.1931,BSNL,5G,99,-59,86.5,38.0,36,0.6,0.3,GOOD,0.98
N000062,2026-06-18 11:03:00,Tripura,Dhalai,23.7321,91.866,Jio,5G,98,-56,102.7,25.2,44,0.7,0.4,GOOD,0.93
N000063,2026-06-18 11:06:00,Arunachal Pradesh,Tawang,27.539,91.9156,Jio,2G,23,-104,0.86,0.24,329,28.2,15.5,POOR,0.91
N000064,2026-06-18 11:09:00,Arunachal Pradesh,West Kameng,27.3861,92.5197,Jio,2G,15,-107,1.17,0.17,420,31.2,17.2,POOR,0.88
N000065,2026-06-18 11:12:00,Arunachal Pradesh,Papum Pare,26.9636,93.5667,BSNL,5G,93,-73,74.9,39.2,43,0.8,0.4,GOOD,0.87
N000066,2026-06-18 11:15:00,Arunachal Pradesh,East Siang,28.1384,95.3415,BSNL,4G,92,-57,128.5,25.0,38,1.3,0.7,GOOD,0.94
N000067,2026-06-18 11:18:00,Arunachal Pradesh,Lower Subansiri,27.6835,93.8873,BSNL,2G,86,-81,8.8,4.7,87,3.6,2.0,POOR,0.94
N000068,2026-06-18 11:21:00,Assam,Kamrup Metropolitan,26.1693,91.6306,Jio,4G,92,-68,118.5,27.2,18,0.3,0.2,GOOD,0.97
N000069,2026-06-18 11:24:00,Assam,Kamrup Rural,26.3149,91.7037,Airtel,5G,94,-71,97.3,18.7,30,0.7,0.4,GOOD,0.98
N000070,2026-06-18 11:27:00,Assam,Darrang,26.3769,91.9118,Jio,4G,99,-74,99.3,20.9,31,0.6,0.3,GOOD,0.98
N000071,2026-06-18 11:30:00,Assam,Sonitpur,26.776,92.8674,Jio,4G,92,-61,58.5,16.2,43,0.8,0.4,GOOD,0.88
N000072,2026-06-18 11:33:00,Assam,Dibrugarh,27.6157,95.0052,BSNL,5G,100,-70,55.0,29.5,40,0.3,0.2,GOOD,0.95
N000073,2026-06-18 11:36:00,Assam,Cachar,24.9606,92.8636,BSNL,5G,98,-62,106.2,28.0,29,0.7,0.4,GOOD,0.98
N000074,2026-06-18 11:39:00,Assam,Nagaon,26.4384,92.614,Jio,5G,95,-62,113.5,27.7,48,0.4,0.2,GOOD,0.86
N000075,2026-06-18 11:42:00,Meghalaya,East Khasi Hills,25.4404,91.8845,BSNL,2G,65,-84,12.7,4.7,103,4.0,2.2,POOR,0.86
N000076,2026-06-18 11:45:00,Meghalaya,West Khasi Hills,25.4516,91.3486,BSNL,4G,73,-85,14.2,2.7,106,5.6,3.1,OK,0.93
N000077,2026-06-18 11:48:00,Meghalaya,Ri-Bhoi,25.8695,91.8136,Jio,4G,96,-54,120.0,12.7,37,1.2,0.7,GOOD,0.86
N000078,2026-06-18 11:51:00,Meghalaya,West Jaintia Hills,25.4924,92.1699,Jio,3G,66,-81,9.9,4.5,79,5.2,2.9,POOR,0.86
N000079,2026-06-18 11:54:00,Sikkim,East Sikkim,27.2235,88.7476,Airtel,3G,80,-80,9.6,2.7,70,2.0,1.1,POOR,0.87
N000080,2026-06-18 11:57:00,Sikkim,North Sikkim,27.3615,88.579,Airtel,3G,42,-108,0.55,0.08,581,17.0,9.4,POOR,0.88
N000081,2026-06-18 12:00:00,Sikkim,South Sikkim,27.2019,88.3534,Jio,4G,65,-94,11.2,1.6,98,6.4,3.5,OK,0.94
N000082,2026-06-18 12:03:00,Nagaland,Kohima,25.5384,94.0894,Jio,4G,85,-78,5.3,4.0,67,2.6,1.4,OK,0.88
N000083,2026-06-18 12:06:00,Nagaland,Dimapur,25.9726,93.8001,BSNL,5G,96,-58,38.8,38.2,36,1.1,0.6,GOOD,0.89
N000084,2026-06-18 12:09:00,Nagaland,Mokokchung,26.4597,94.6462,Jio,4G,87,-88,7.8,2.9,114,3.3,1.8,OK,0.94
N000085,2026-06-18 12:12:00,Manipur,Imphal West,24.8829,93.8769,BSNL,5G,96,-63,114.5,40.0,18,1.2,0.7,GOOD,0.94
N000086,2026-06-18 12:15:00,Manipur,Bishnupur,24.6916,93.7808,Airtel,4G,100,-72,122.6,35.7,29,1.0,0.6,GOOD,0.91
N000087,2026-06-18 12:18:00,Manipur,Senapati,25.3132,94.1308,Airtel,2G,87,-92,14.8,2.3,90,5.8,3.2,POOR,0.9
N000088,2026-06-18 12:21:00,Mizoram,Aizawl,23.8272,92.6588,Jio,4G,81,-93,10.0,2.6,132,4.5,2.5,OK,0.89
N000089,2026-06-18 12:24:00,Mizoram,Kolasib,24.2664,92.6695,Airtel,5G,100,-63,39.6,27.7,25,1.1,0.6,GOOD,0.91
N000090,2026-06-18 12:27:00,Mizoram,Lunglei,22.9681,92.8779,Airtel,3G,83,-89,4.7,1.6,78,2.9,1.6,POOR,0.9
N000091,2026-06-18 12:30:00,Tripura,West Tripura,23.8361,91.3267,Jio,5G,100,-64,119.7,24.4,28,0.8,0.4,GOOD,0.85
N000092,2026-06-18 12:33:00,Tripura,Sipahijala,23.5555,91.2551,BSNL,5G,99,-72,109.2,25.0,43,0.1,0.1,GOOD,0.87
N000093,2026-06-18 12:36:00,Tripura,Dhalai,23.7735,91.8425,BSNL,4G,93,-66,101.3,25.7,44,0.9,0.5,GOOD,0.88
N000094,2026-06-18 12:39:00,Arunachal Pradesh,Tawang,27.7019,91.8821,Jio,2G,43,-97,1.15,0.03,611,27.4,15.1,POOR,0.91
N000095,2026-06-18 12:42:00,Arunachal Pradesh,West Kameng,27.1877,92.4627,Jio,2G,47,-108,0.01,0.02,366,18.6,10.2,POOR,0.97
N000096,2026-06-18 12:45:00,Arunachal Pradesh,Papum Pare,27.216,93.7001,Airtel,5G,98,-56,102.3,30.3,37,1.3,0.7,GOOD,0.93
N000097,2026-06-18 12:48:00,Arunachal Pradesh,East Siang,28.0714,95.1911,Airtel,5G,94,-68,124.2,35.9,47,0.1,0.1,GOOD,0.97
N000098,2026-06-18 12:51:00,Arunachal Pradesh,Lower Subansiri,27.44,93.8194,BSNL,2G,77,-81,8.4,2.6,89,6.2,3.4,POOR,0.88
N000099,2026-06-18 12:54:00,Assam,Kamrup Metropolitan,26.2795,91.8536,Jio,5G,95,-57,58.4,14.5,20,0.2,0.1,GOOD,0.89
N000100,2026-06-18 12:57:00,Assam,Kamrup Rural,26.163,91.6841,BSNL,4G,99,-64,60.1,38.6,25,0.3,0.2,GOOD,0.89
N000101,2026-06-18 13:00:00,Assam,Darrang,26.4444,91.9588,BSNL,4G,97,-73,118.0,11.3,47,0.3,0.2,GOOD,0.86
N000102,2026-06-18 13:03:00,Assam,Sonitpur,26.7171,92.788,Jio,5G,93,-72,102.4,24.1,48,0.3,0.2,GOOD,0.98
N000103,2026-06-18 13:06:00,Assam,Dibrugarh,27.4085,94.8435,BSNL,4G,99,-73,55.9,16.5,38,1.0,0.6,GOOD,0.94
N000104,2026-06-18 13:09:00,Assam,Cachar,24.7285,92.7438,Airtel,4G,100,-64,128.5,13.1,32,0.3,0.2,GOOD,0.88
N000105,2026-06-18 13:12:00,Assam,Nagaon,26.3175,92.6968,Airtel,4G,99,-58,110.6,17.7,25,1.4,0.8,GOOD,0.87
N000106,2026-06-18 13:15:00,Meghalaya,East Khasi Hills,25.5456,91.9742,Airtel,2G,86,-98,15.2,4.3,105,6.2,3.4,POOR,0.97
N000107,2026-06-18 13:18:00,Meghalaya,West Khasi Hills,25.5327,91.2531,BSNL,2G,69,-80,5.6,3.1,70,4.6,2.5,POOR,0.87
N000108,2026-06-18 13:21:00,Meghalaya,Ri-Bhoi,26.006,92.016,Airtel,5G,92,-62,53.8,19.6,40,0.2,0.1,GOOD,0.93
N000109,2026-06-18 13:24:00,Meghalaya,West Jaintia Hills,25.54,92.3193,BSNL,3G,80,-98,6.0,2.3,69,3.7,2.0,POOR,0.92
N000110,2026-06-18 13:27:00,Sikkim,East Sikkim,27.1976,88.5573,Airtel,3G,68,-88,5.7,2.6,79,4.7,2.6,POOR,0.94
N000111,2026-06-18 13:30:00,Sikkim,North Sikkim,27.6022,88.6759,Airtel,3G,36,-105,0.98,0.3,443,16.2,8.9,POOR,0.97
N000112,2026-06-18 13:33:00,Sikkim,South Sikkim,27.1976,88.3989,Airtel,2G,80,-94,10.2,1.9,102,4.3,2.4,POOR,0.91
N000113,2026-06-18 13:36:00,Nagaland,Kohima,25.6636,93.9737,Jio,3G,88,-86,5.1,3.2,72,6.5,3.6,POOR,0.97
N000114,2026-06-18 13:39:00,Nagaland,Dimapur,25.8581,93.8414,BSNL,4G,94,-66,118.1,12.5,40,1.2,0.7,GOOD,0.95
N000115,2026-06-18 13:42:00,Nagaland,Mokokchung,26.2507,94.3946,Airtel,4G,68,-86,8.0,4.3,125,5.2,2.9,OK,0.94
N000116,2026-06-18 13:45:00,Manipur,Imphal West,24.9526,93.8541,BSNL,4G,93,-52,49.5,11.4,48,1.2,0.7,GOOD,0.93
N000117,2026-06-18 13:48:00,Manipur,Bishnupur,24.7087,93.8994,BSNL,5G,96,-76,45.2,16.0,38,1.0,0.6,GOOD,0.93
N000118,2026-06-18 13:51:00,Manipur,Senapati,25.1816,94.0021,Jio,3G,77,-79,7.8,4.4,102,6.3,3.5,POOR,0.86
N000119,2026-06-18 13:54:00,Mizoram,Aizawl,23.7869,92.7977,BSNL,3G,73,-88,10.5,4.6,141,4.2,2.3,POOR,0.96
N000120,2026-06-18 13:57:00,Mizoram,Kolasib,24.2855,92.7633,BSNL,5G,92,-64,59.2,28.1,35,0.7,0.4,GOOD,0.92
N000121,2026-06-18 14:00:00,Mizoram,Lunglei,22.7377,92.6836,BSNL,2G,74,-80,11.5,4.4,103,5.4,3.0,POOR,0.96
N000122,2026-06-18 14:03:00,Tripura,West Tripura,23.9639,91.1963,Jio,5G,98,-72,87.1,39.7,36,0.9,0.5,GOOD,0.93
N000123,2026-06-18 14:06:00,Tripura,Sipahijala,23.5156,91.3937,Airtel,4G,94,-55,38.7,27.7,36,0.9,0.5,GOOD,0.87
N000124,2026-06-18 14:09:00,Tripura,Dhalai,23.9389,91.8698,Airtel,4G,99,-62,47.8,26.6,46,0.8,0.4,GOOD,0.86
N000125,2026-06-18 14:12:00,Arunachal Pradesh,Tawang,27.5473,91.8612,Airtel,2G,52,-110,0.4,0.12,518,28.4,15.6,POOR,0.91
N000126,2026-06-18 14:15:00,Arunachal Pradesh,West Kameng,27.2616,92.396,Airtel,NO_SERVICE,51,-111,0.89,0.08,439,23.7,13.0,NO_NETWORK,0.86
N000127,2026-06-18 14:18:00,Arunachal Pradesh,Papum Pare,27.1626,93.5972,Airtel,4G,93,-58,108.3,13.7,25,1.3,0.7,GOOD,0.87
N000128,2026-06-18 14:21:00,Arunachal Pradesh,East Siang,28.1008,95.4519,Jio,4G,92,-52,59.0,11.6,23,0.7,0.4,GOOD,0.87
N000129,2026-06-18 14:24:00,Arunachal Pradesh,Lower Subansiri,27.6193,93.7605,Airtel,4G,67,-95,12.9,4.1,106,3.2,1.8,OK,0.89
N000130,2026-06-18 14:27:00,Assam,Kamrup Metropolitan,26.0782,91.7214,BSNL,4G,94,-76,97.1,34.0,40,0.2,0.1,GOOD,0.94
N000131,2026-06-18 14:30:00,Assam,Kamrup Rural,26.1487,91.4206,Airtel,4G,93,-59,117.8,25.3,25,1.3,0.7,GOOD,0.91
N000132,2026-06-18 14:33:00,Assam,Darrang,26.4084,91.9585,BSNL,4G,92,-69,123.9,29.9,28,1.3,0.7,GOOD,0.94
N000133,2026-06-18 14:36:00,Assam,Sonitpur,26.5667,92.6456,BSNL,4G,99,-76,47.4,25.3,19,0.5,0.3,GOOD,0.88
N000134,2026-06-18 14:39:00,Assam,Dibrugarh,27.4694,94.9894,Airtel,4G,96,-76,58.9,9.7,23,0.2,0.1,GOOD,0.92
N000135,2026-06-18 14:42:00,Assam,Cachar,24.8178,92.6341,Jio,5G,96,-56,48.4,11.3,28,0.6,0.3,GOOD,0.85
N000136,2026-06-18 14:45:00,Assam,Nagaon,26.2871,92.7085,Airtel,5G,95,-68,36.5,14.3,31,0.8,0.4,GOOD,0.91
N000137,2026-06-18 14:48:00,Meghalaya,East Khasi Hills,25.7278,91.9084,Jio,3G,77,-87,7.5,4.6,129,5.4,3.0,POOR,0.88
N000138,2026-06-18 14:51:00,Meghalaya,West Khasi Hills,25.4354,91.1462,Airtel,4G,66,-94,10.8,3.2,77,3.7,2.0,OK,0.96
N000139,2026-06-18 14:54:00,Meghalaya,Ri-Bhoi,26.0353,91.937,Airtel,5G,92,-58,98.2,24.6,44,0.1,0.1,GOOD,0.95
N000140,2026-06-18 14:57:00,Meghalaya,West Jaintia Hills,25.5174,92.343,Jio,4G,80,-82,14.6,1.4,145,5.1,2.8,OK,0.91
N000141,2026-06-18 15:00:00,Sikkim,East Sikkim,27.4387,88.5454,Airtel,2G,73,-94,13.6,3.0,94,2.2,1.2,POOR,0.98
N000142,2026-06-18 15:03:00,Sikkim,North Sikkim,27.5102,88.4823,Jio,NO_SERVICE,36,-110,1.39,0.3,584,27.2,15.0,NO_NETWORK,0.88
N000143,2026-06-18 15:06:00,Sikkim,South Sikkim,27.0579,88.4605,Jio,2G,84,-92,8.9,3.4,145,5.2,2.9,POOR,0.98
N000144,2026-06-18 15:09:00,Nagaland,Kohima,25.6104,94.1022,BSNL,3G,71,-83,15.4,2.1,85,3.0,1.7,POOR,0.96
N000145,2026-06-18 15:12:00,Nagaland,Dimapur,26.0391,93.7208,BSNL,5G,94,-57,94.2,17.1,22,0.5,0.3,GOOD,0.85
N000146,2026-06-18 15:15:00,Nagaland,Mokokchung,26.3481,94.5759,Jio,4G,77,-82,12.2,3.7,116,1.9,1.0,OK,0.9
N000147,2026-06-18 15:18:00,Manipur,Imphal West,24.7582,94.085,Airtel,4G,97,-68,30.8,21.1,40,0.6,0.3,GOOD,0.9
N000148,2026-06-18 15:21:00,Manipur,Bishnupur,24.6612,93.8,BSNL,4G,67,-86,14.9,4.6,139,2.2,1.2,OK,0.89
N000149,2026-06-18 15:24:00,Manipur,Senapati,25.2428,94.118,Airtel,2G,86,-82,13.0,1.8,108,4.4,2.4,POOR,0.86
N000150,2026-06-18 15:27:00,Mizoram,Aizawl,23.76,92.7896,Jio,3G,67,-93,11.2,2.2,120,2.0,1.1,POOR,0.95
N000151,2026-06-18 15:30:00,Mizoram,Kolasib,24.2681,92.5771,Airtel,4G,96,-72,39.1,13.8,39,0.6,0.3,GOOD,0.9
N000152,2026-06-18 15:33:00,Mizoram,Lunglei,22.8526,92.7968,Jio,4G,66,-86,7.1,2.3,68,5.9,3.2,OK,0.85
N000153,2026-06-18 15:36:00,Tripura,West Tripura,23.8936,91.3477,Airtel,4G,98,-62,119.1,41.1,18,1.4,0.8,GOOD,0.9
N000154,2026-06-18 15:39:00,Tripura,Sipahijala,23.5644,91.3994,BSNL,5G,95,-74,90.9,24.9,34,0.4,0.2,GOOD,0.89
N000155,2026-06-18 15:42:00,Tripura,Dhalai,23.8275,91.8634,Jio,4G,95,-53,78.3,33.0,47,1.1,0.6,GOOD,0.89
N000156,2026-06-18 15:45:00,Arunachal Pradesh,Tawang,27.4788,91.7273,BSNL,2G,25,-107,0.87,0.19,674,15.3,8.4,POOR,0.96
N000157,2026-06-18 15:48:00,Arunachal Pradesh,West Kameng,27.2853,92.3525,BSNL,NO_SERVICE,41,-95,1.39,0.58,374,16.4,9.0,NO_NETWORK,0.95
N000158,2026-06-18 15:51:00,Arunachal Pradesh,Papum Pare,27.0712,93.5483,Airtel,4G,94,-73,56.5,32.6,37,1.2,0.7,GOOD,0.92
N000159,2026-06-18 15:54:00,Arunachal Pradesh,East Siang,27.928,95.3056,Jio,4G,100,-55,35.5,19.3,45,0.1,0.1,GOOD,0.94
N000160,2026-06-18 15:57:00,Arunachal Pradesh,Lower Subansiri,27.4687,93.8823,Airtel,4G,76,-84,8.8,1.5,66,3.2,1.8,OK,0.85
N000161,2026-06-18 16:00:00,Assam,Kamrup Metropolitan,26.2944,91.7879,Jio,4G,94,-70,61.0,26.2,30,0.8,0.4,GOOD,0.88
N000162,2026-06-18 16:03:00,Assam,Kamrup Rural,26.0876,91.5677,Airtel,5G,94,-64,56.1,11.4,48,0.6,0.3,GOOD,0.97
N000163,2026-06-18 16:06:00,Assam,Darrang,26.4776,92.0714,BSNL,5G,100,-56,103.4,38.5,20,1.3,0.7,GOOD,0.85
N000164,2026-06-18 16:09:00,Assam,Sonitpur,26.6063,92.7389,Jio,5G,94,-65,79.2,33.1,34,0.6,0.3,GOOD,0.95
N000165,2026-06-18 16:12:00,Assam,Dibrugarh,27.5309,94.8485,Jio,4G,93,-76,70.9,28.2,22,1.3,0.7,GOOD,0.97
N000166,2026-06-18 16:15:00,Assam,Cachar,24.6943,92.6553,Airtel,5G,98,-70,40.8,41.7,30,0.6,0.3,GOOD,0.88
N000167,2026-06-18 16:18:00,Assam,Nagaon,26.3165,92.6884,BSNL,5G,99,-70,83.1,19.9,30,1.0,0.6,GOOD,0.97
N000168,2026-06-18 16:21:00,Meghalaya,East Khasi Hills,25.5528,91.7996,Jio,3G,76,-91,11.8,1.5,140,6.4,3.5,POOR,0.89
N000169,2026-06-18 16:24:00,Meghalaya,West Khasi Hills,25.4926,91.1255,BSNL,2G,72,-85,12.5,2.5,142,6.2,3.4,POOR,0.87
N000170,2026-06-18 16:27:00,Meghalaya,Ri-Bhoi,25.8814,91.9395,Airtel,4G,92,-75,56.3,19.4,20,1.1,0.6,GOOD,0.97
N000171,2026-06-18 16:30:00,Meghalaya,West Jaintia Hills,25.5398,92.2629,BSNL,3G,77,-78,13.2,1.2,136,4.2,2.3,POOR,0.93
N000172,2026-06-18 16:33:00,Sikkim,East Sikkim,27.2169,88.7542,BSNL,4G,73,-78,6.5,3.6,129,2.2,1.2,OK,0.98
N000173,2026-06-18 16:36:00,Sikkim,North Sikkim,27.5443,88.4462,BSNL,3G,25,-108,0.28,0.22,570,15.0,8.2,POOR,0.86
