road_id,road_name,state,district,start_lat,start_lon,end_lat,end_lon,length_km,road_type,surface_type,one_way,bridge,tunnel,elevation_m,slope_percent,river_crossing,road_condition,current_system_score
NH-08,Agartala-Udaipur Hwy Sec-1,Tripura,Sipahijala,23.7645,91.1931,23.8077,91.2259,17.4,NH,Asphalt,0,0,0,84,1.2,0,GOOD,0.173
NH-08,Ambassa Corridor Sec-2,Tripura,Dhalai,23.7321,91.866,23.7705,91.8927,17.5,NH,Asphalt,0,0,0,114,10.9,0,FAIR,0.356
NH-13,Bhalukpong-Tawang Hwy Sec-3,Arunachal Pradesh,Tawang,27.539,91.9156,27.5615,91.9602,12.4,NH,Asphalt,0,0,1,2949,43.3,0,CRITICAL,0.72
NH-13,Trans-Arunachal Hwy Sec-4,Arunachal Pradesh,West Kameng,27.3861,92.5197,27.4029,92.5364,9.1,NH,Asphalt,0,0,0,2151,38.7,0,CRITICAL,0.798
NH-415,Itanagar-Naharlagun Corridor Sec-5,Arunachal Pradesh,Papum Pare,26.9636,93.5667,26.9947,93.5948,8.3,NH,Asphalt,0,0,0,276,19.2,0,FAIR,0.45
NH-515,Pasighat Corridor Sec-6,Arunachal Pradesh,East Siang,28.1384,95.3415,28.1676,95.3829,5.5,NH,Asphalt,0,1,0,149,9.5,1,POOR,0.642
NH-13,Ziro-Yachuli Road Sec-7,Arunachal Pradesh,Lower Subansiri,27.6835,93.8873,27.7205,93.927,16.3,NH,Asphalt,0,0,0,1519,32.6,0,POOR,0.655
NH-27,East-West Corridor Sec-8,Assam,Kamrup Metropolitan,26.1693,91.6306,26.202,91.6628,12.1,NH,Asphalt,1,1,0,20,0.4,0,GOOD,0.215
NH-27,Amingaon-Rangia Hwy Sec-9,Assam,Kamrup Rural,26.3149,91.7037,26.3463,91.7385,12.0,NH,Asphalt,0,1,0,20,2.9,0,GOOD,0.071
NH-15,North Bank Hwy Sec-10,Assam,Darrang,26.3769,91.9118,26.3961,91.9499,16.3,NH,Asphalt,0,1,0,91,1.4,0,GOOD,0.095
NH-15,Tezpur-Biswanath Hwy Sec-11,Assam,Sonitpur,26.776,92.8674,26.8132,92.9111,9.4,NH,Asphalt,0,0,0,136,4.2,0,GOOD,0.051
NH-37,Upper Assam Hwy Sec-12,Assam,Dibrugarh,27.6157,95.0052,27.6531,95.0266,8.8,NH,Asphalt,0,1,0,160,0.4,1,GOOD,0.111
NH-37,Silchar-Badarpur Corridor Sec-13,Assam,Cachar,24.9606,92.8636,24.9824,92.8895,7.2,NH,Asphalt,0,1,0,20,3.3,0,GOOD,0.072
NH-27,Kaziranga Bypass Sec-14,Assam,Nagaon,26.4384,92.614,26.4612,92.6471,17.1,NH,Concrete,0,1,0,104,2.0,0,GOOD,0.145
NH-206,Shillong-Dawki Hwy Sec-15,Meghalaya,East Khasi Hills,25.4404,91.8845,25.4682,91.9237,15.3,NH,Asphalt,0,0,0,1455,32.1,0,POOR,0.606
NH-127B,Nongstoin Road Sec-16,Meghalaya,West Khasi Hills,25.4516,91.3486,25.4916,91.3654,17.9,NH,Asphalt,0,0,0,1249,26.6,0,POOR,0.651
NH-06,Guwahati-Shillong Expressway Sec-17,Meghalaya,Ri-Bhoi,25.8695,91.8136,25.8957,91.8456,17.9,NH,Asphalt,0,0,0,498,18.8,0,FAIR,0.4
NH-06,Jowai Bypass Sec-18,Meghalaya,West Jaintia Hills,25.4924,92.1699,25.5362,92.2111,8.9,NH,Asphalt,0,0,0,1377,26.2,0,POOR,0.666
NH-10,Sevoke-Gangtok Hwy Sec-19,Sikkim,East Sikkim,27.2235,88.7476,27.2547,88.7711,9.0,NH,Asphalt,0,1,0,1612,42.4,0,CRITICAL,0.712
NH-310,Mangan-Chungthang Road Sec-20,Sikkim,North Sikkim,27.3615,88.579,27.3785,88.5963,5.7,NH,Asphalt,0,1,1,2434,49.6,1,CRITICAL,0.703
NH-510,Namchi-Jorethang Rd Sec-1,Sikkim,South Sikkim,27.2019,88.3534,27.2336,88.3718,6.6,NH,Asphalt,0,1,0,1289,38.2,1,CRITICAL,0.845
NH-29,Dimapur-Kohima Corridor Sec-2,Nagaland,Kohima,25.5384,94.0894,25.5688,94.1299,12.2,NH,Asphalt,0,0,0,1446,37.9,0,POOR,0.517
NH-29,Dimapur Gateway Sec-3,Nagaland,Dimapur,25.9726,93.8001,26.0017,93.8346,7.1,NH,Asphalt,0,0,0,220,2.3,0,GOOD,0.101
NH-02,Mokokchung-Amguri Rd Sec-4,Nagaland,Mokokchung,26.4597,94.6462,26.4769,94.6817,15.5,NH,Asphalt,0,0,0,1339,30.1,0,POOR,0.526
NH-02,Imphal Ring Road Sec-5,Manipur,Imphal West,24.8829,93.8769,24.9119,93.9186,17.9,NH,Asphalt,0,1,0,764,3.0,0,GOOD,0.104
NH-02,Imphal-Churachandpur Hwy Sec-6,Manipur,Bishnupur,24.6916,93.7808,24.7112,93.8057,7.0,NH,Asphalt,0,1,0,734,3.1,0,GOOD,0.152
NH-02,Mao-Maram Highway Sec-7,Manipur,Senapati,25.3132,94.1308,25.3455,94.1594,15.0,NH,Asphalt,0,0,0,1268,29.8,0,POOR,0.551
NH-54,Silchar-Aizawl Hwy Sec-8,Mizoram,Aizawl,23.8272,92.6588,23.8644,92.7023,16.5,NH,Asphalt,0,0,0,1096,32.6,0,POOR,0.568
NH-54,Vairengte-Kolasib Corridor Sec-9,Mizoram,Kolasib,24.2664,92.6695,24.2934,92.6933,12.9,NH,Asphalt,0,0,0,606,25.4,0,POOR,0.605
NH-54,Aizawl-Lunglei Road Sec-10,Mizoram,Lunglei,22.9681,92.8779,22.9948,92.8932,8.9,NH,Asphalt,0,0,0,1054,29.8,0,POOR,0.539
NH-08,Assam-Agartala National Hwy Sec-11,Tripura,West Tripura,23.8361,91.3267,23.8556,91.3674,12.4,NH,Asphalt,0,0,0,20,0.4,0,GOOD,0.1
NH-08,Agartala-Udaipur Hwy Sec-12,Tripura,Sipahijala,23.5555,91.2551,23.5865,91.2897,7.2,NH,Asphalt,0,0,0,75,1.5,0,GOOD,0.083
NH-08,Ambassa Corridor Sec-13,Tripura,Dhalai,23.7735,91.8425,23.8163,91.8843,14.2,NH,Asphalt,0,0,0,188,13.3,0,FAIR,0.32
NH-13,Bhalukpong-Tawang Hwy Sec-14,Arunachal Pradesh,Tawang,27.7019,91.8821,27.7342,91.9028,6.5,NH,Asphalt,0,0,1,2931,45.5,0,CRITICAL,0.863
NH-13,Trans-Arunachal Hwy Sec-15,Arunachal Pradesh,West Kameng,27.1877,92.4627,27.212,92.4807,11.7,NH,Asphalt,0,0,0,2140,40.0,0,CRITICAL,0.866
NH-415,Itanagar-Naharlagun Corridor Sec-16,Arunachal Pradesh,Papum Pare,27.216,93.7001,27.2593,93.7163,6.2,NH,Asphalt,0,0,0,288,16.9,0,FAIR,0.383
NH-515,Pasighat Corridor Sec-17,Arunachal Pradesh,East Siang,28.0714,95.1911,28.0969,95.2082,16.3,NH,Asphalt,0,1,0,126,11.3,1,POOR,0.504
NH-13,Ziro-Yachuli Road Sec-18,Arunachal Pradesh,Lower Subansiri,27.44,93.8194,27.4747,93.8405,6.7,NH,Asphalt,0,0,0,1567,34.8,0,POOR,0.585
NH-27,East-West Corridor Sec-19,Assam,Kamrup Metropolitan,26.2795,91.8536,26.3242,91.8756,16.9,NH,Asphalt,1,0,0,73,2.8,0,GOOD,0.164
NH-27,Amingaon-Rangia Hwy Sec-20,Assam,Kamrup Rural,26.163,91.6841,26.2043,91.7274,6.2,NH,Asphalt,1,0,0,55,2.9,0,GOOD,0.147
NH-15,North Bank Hwy Sec-1,Assam,Darrang,26.4444,91.9588,26.4854,91.9994,7.3,NH,Concrete,0,1,0,23,2.8,1,POOR,0.576
NH-15,Tezpur-Biswanath Hwy Sec-2,Assam,Sonitpur,26.7171,92.788,26.7453,92.809,14.9,NH,Asphalt,0,1,0,48,1.0,1,GOOD,0.148
NH-37,Upper Assam Hwy Sec-3,Assam,Dibrugarh,27.4085,94.8435,27.4272,94.8876,11.3,NH,Asphalt,0,1,0,88,2.8,1,POOR,0.58
NH-37,Silchar-Badarpur Corridor Sec-4,Assam,Cachar,24.7285,92.7438,24.759,92.7637,7.3,NH,Asphalt,0,1,0,20,2.8,1,POOR,0.615
NH-27,Kaziranga Bypass Sec-5,Assam,Nagaon,26.3175,92.6968,26.3547,92.7226,17.9,NH,Asphalt,1,0,0,57,0.4,0,GOOD,0.072
NH-206,Shillong-Dawki Hwy Sec-6,Meghalaya,East Khasi Hills,25.5456,91.9742,25.5633,92.0044,11.0,NH,Asphalt,0,0,0,1519,28.1,0,POOR,0.622
NH-127B,Nongstoin Road Sec-7,Meghalaya,West Khasi Hills,25.5327,91.2531,25.563,91.2964,4.7,NH,Asphalt,0,0,0,1340,27.3,0,POOR,0.481
NH-06,Guwahati-Shillong Expressway Sec-8,Meghalaya,Ri-Bhoi,26.006,92.016,26.0324,92.0436,17.5,NH,Asphalt,0,0,0,543,16.7,0,FAIR,0.263
NH-06,Jowai Bypass Sec-9,Meghalaya,West Jaintia Hills,25.54,92.3193,25.558,92.3451,8.7,NH,Asphalt,0,0,0,1332,24.6,0,POOR,0.674
NH-10,Sevoke-Gangtok Hwy Sec-10,Sikkim,East Sikkim,27.1976,88.5573,27.2146,88.6007,13.3,NH,Asphalt,0,1,0,1676,43.5,1,CRITICAL,0.911
NH-310,Mangan-Chungthang Road Sec-11,Sikkim,North Sikkim,27.6022,88.6759,27.6241,88.7119,13.3,NH,Asphalt,0,1,1,2469,48.7,0,CRITICAL,0.713
NH-510,Namchi-Jorethang Rd Sec-12,Sikkim,South Sikkim,27.1976,88.3989,27.2369,88.4402,4.7,NH,Asphalt,0,1,0,1250,36.9,1,POOR,0.552
NH-29,Dimapur-Kohima Corridor Sec-13,Nagaland,Kohima,25.6636,93.9737,25.7075,94.0106,16.6,NH,Asphalt,0,0,0,1428,34.9,0,POOR,0.493
NH-29,Dimapur Gateway Sec-14,Nagaland,Dimapur,25.8581,93.8414,25.8745,93.8818,6.9,NH,Asphalt,0,0,0,170,5.1,0,GOOD,0.147
NH-02,Mokokchung-Amguri Rd Sec-15,Nagaland,Mokokchung,26.2507,94.3946,26.266,94.4252,6.4,NH,Asphalt,0,0,0,1262,32.2,0,POOR,0.641
NH-02,Imphal Ring Road Sec-16,Manipur,Imphal West,24.9526,93.8541,24.9817,93.8703,12.5,NH,Asphalt,0,1,0,733,3.6,0,GOOD,0.24
NH-02,Imphal-Churachandpur Hwy Sec-17,Manipur,Bishnupur,24.7087,93.8994,24.73,93.9366,8.5,NH,Asphalt,0,1,0,735,5.2,0,GOOD,0.177
NH-02,Mao-Maram Highway Sec-18,Manipur,Senapati,25.1816,94.0021,25.2151,94.0418,10.2,NH,Asphalt,0,0,0,1204,29.8,0,POOR,0.531
NH-54,Silchar-Aizawl Hwy Sec-19,Mizoram,Aizawl,23.7869,92.7977,23.8071,92.8283,6.5,NH,Asphalt,0,0,0,1091,33.5,0,POOR,0.589
NH-54,Vairengte-Kolasib Corridor Sec-20,Mizoram,Kolasib,24.2855,92.7633,24.3248,92.7984,9.4,NH,Asphalt,0,0,0,570,26.8,0,POOR,0.522
NH-54,Aizawl-Lunglei Road Sec-1,Mizoram,Lunglei,22.7377,92.6836,22.7804,92.7222,4.9,NH,Asphalt,0,0,0,1046,33.5,0,POOR,0.659
NH-08,Assam-Agartala National Hwy Sec-2,Tripura,West Tripura,23.9639,91.1963,23.985,91.2234,9.5,NH,Asphalt,0,0,0,50,3.1,0,GOOD,0.224
NH-08,Agartala-Udaipur Hwy Sec-3,Tripura,Sipahijala,23.5156,91.3937,23.5493,91.4096,4.8,NH,Concrete,0,0,0,80,3.9,0,GOOD,0.162
NH-08,Ambassa Corridor Sec-4,Tripura,Dhalai,23.9389,91.8698,23.968,91.9068,6.4,NH,Asphalt,0,0,0,85,11.2,0,FAIR,0.315
NH-13,Bhalukpong-Tawang Hwy Sec-5,Arunachal Pradesh,Tawang,27.5473,91.8612,27.5785,91.8991,14.3,NH,Asphalt,0,0,1,2883,42.1,0,CRITICAL,0.765
NH-13,Trans-Arunachal Hwy Sec-6,Arunachal Pradesh,West Kameng,27.2616,92.396,27.2817,92.414,9.2,NH,Asphalt,0,0,0,2186,38.7,0,CRITICAL,0.707
NH-415,Itanagar-Naharlagun Corridor Sec-7,Arunachal Pradesh,Papum Pare,27.1626,93.5972,27.1843,93.6248,5.4,NH,Asphalt,0,0,0,353,18.6,0,FAIR,0.413
NH-515,Pasighat Corridor Sec-8,Arunachal Pradesh,East Siang,28.1008,95.4519,28.1449,95.4808,10.1,NH,Asphalt,0,1,0,194,9.1,0,GOOD,0.14
NH-13,Ziro-Yachuli Road Sec-9,Arunachal Pradesh,Lower Subansiri,27.6193,93.7605,27.6612,93.7887,16.1,NH,Asphalt,0,0,0,1609,31.1,0,POOR,0.525
NH-27,East-West Corridor Sec-10,Assam,Kamrup Metropolitan,26.0782,91.7214,26.1175,91.7364,10.9,NH,Asphalt,1,0,0,91,1.0,0,GOOD,0.144
NH-27,Amingaon-Rangia Hwy Sec-11,Assam,Kamrup Rural,26.1487,91.4206,26.1734,91.4518,17.4,NH,Asphalt,1,1,0,106,0.4,0,GOOD,0.214
NH-15,North Bank Hwy Sec-12,Assam,Darrang,26.4084,91.9585,26.4382,91.9984,12.2,NH,Concrete,0,1,0,27,3.0,0,GOOD,0.075
NH-15,Tezpur-Biswanath Hwy Sec-13,Assam,Sonitpur,26.5667,92.6456,26.5971,92.6848,6.4,NH,Asphalt,0,1,0,42,0.4,0,GOOD,0.222
NH-37,Upper Assam Hwy Sec-14,Assam,Dibrugarh,27.4694,94.9894,27.5067,95.0259,8.3,NH,Asphalt,0,1,0,136,0.7,0,GOOD,0.23
NH-37,Silchar-Badarpur Corridor Sec-15,Assam,Cachar,24.8178,92.6341,24.8403,92.6566,14.4,NH,Asphalt,0,1,0,20,0.4,0,GOOD,0.239
NH-27,Kaziranga Bypass Sec-16,Assam,Nagaon,26.2871,92.7085,26.3234,92.7374,12.5,NH,Asphalt,0,1,0,64,1.3,0,GOOD,0.129
NH-206,Shillong-Dawki Hwy Sec-17,Meghalaya,East Khasi Hills,25.7278,91.9084,25.7508,91.9504,8.9,NH,Asphalt,0,0,0,1475,31.5,0,POOR,0.5
NH-127B,Nongstoin Road Sec-18,Meghalaya,West Khasi Hills,25.4354,91.1462,25.4616,91.1656,14.4,NH,Asphalt,0,0,0,1244,27.1,0,POOR,0.536
NH-06,Guwahati-Shillong Expressway Sec-19,Meghalaya,Ri-Bhoi,26.0353,91.937,26.0758,91.9744,15.3,NH,Asphalt,0,0,0,514,15.1,0,FAIR,0.317
NH-06,Jowai Bypass Sec-20,Meghalaya,West Jaintia Hills,25.5174,92.343,25.5514,92.3818,17.7,NH,Asphalt,0,0,0,1337,26.5,0,POOR,0.491
NH-10,Sevoke-Gangtok Hwy Sec-1,Sikkim,East Sikkim,27.4387,88.5454,27.4541,88.5794,15.8,NH,Asphalt,0,1,0,1636,40.4,1,CRITICAL,0.834
NH-310,Mangan-Chungthang Road Sec-2,Sikkim,North Sikkim,27.5102,88.4823,27.5323,88.5092,4.7,NH,Asphalt,0,1,1,2396,48.8,0,CRITICAL,0.805
NH-510,Namchi-Jorethang Rd Sec-3,Sikkim,South Sikkim,27.0579,88.4605,27.0873,88.5012,7.0,NH,Asphalt,0,1,0,1302,34.2,1,POOR,0.649
NH-29,Dimapur-Kohima Corridor Sec-4,Nagaland,Kohima,25.6104,94.1022,25.6515,94.1463,10.0,NH,Asphalt,0,0,0,1423,34.2,0,POOR,0.457
NH-29,Dimapur Gateway Sec-5,Nagaland,Dimapur,26.0391,93.7208,26.0839,93.7494,8.0,NH,Asphalt,0,0,0,240,1.6,0,GOOD,0.179
NH-02,Mokokchung-Amguri Rd Sec-6,Nagaland,Mokokchung,26.3481,94.5759,26.3763,94.6132,13.3,NH,Asphalt,0,0,0,1279,29.2,0,POOR,0.625
NH-02,Imphal Ring Road Sec-7,Manipur,Imphal West,24.7582,94.085,24.7886,94.1101,18.0,NH,Asphalt,0,1,0,740,2.5,0,GOOD,0.202
NH-02,Imphal-Churachandpur Hwy Sec-8,Manipur,Bishnupur,24.6612,93.8,24.6818,93.8252,16.3,NH,Asphalt,0,1,0,809,3.6,1,GOOD,0.227
NH-02,Mao-Maram Highway Sec-9,Manipur,Senapati,25.2428,94.118,25.281,94.1467,5.8,NH,Asphalt,0,0,0,1244,28.5,0,POOR,0.618
