state,district,subdistrict,village,latitude,longitude,geometry
Assam,Sonitpur,Sonitpur Sub-Division,Jang Ward-2,26.7171,92.788,POINT(92.788 26.7171)
Assam,Dibrugarh,Dibrugarh Sub-Division,Gyalshing Ward-3,27.4085,94.8435,POINT(94.8435 27.4085)
Assam,Cachar,Cachar Sub-Division,Ambassa Ward-4,24.7285,92.7438,POINT(92.7438 24.7285)
Assam,Nagaon,Nagaon Sub-Division,Singtam Ward-5,26.3175,92.6968,POINT(92.6968 26.3175)
Meghalaya,East Khasi Hills,East Khasi Hills Sub-Division,Serchhip Ward-6,25.5456,91.9742,POINT(91.9742 25.5456)
Meghalaya,West Khasi Hills,West Khasi Hills Sub-Division,Cherrapunji Ward-7,25.5327,91.2531,POINT(91.2531 25.5327)
Meghalaya,Ri-Bhoi,Ri-Bhoi Sub-Division,Nambol Ward-8,26.006,92.016,POINT(92.016 26.006)
Meghalaya,West Jaintia Hills,West Jaintia Hills Sub-Division,Teliamura Ward-9,25.54,92.3193,POINT(92.3193 25.54)
Sikkim,East Sikkim,East Sikkim Sub-Division,Mairang Ward-10,27.1976,88.5573,POINT(88.5573 27.1976)
Sikkim,North Sikkim,North Sikkim Sub-Division,Kalaigaon Ward-11,27.6022,88.6759,POINT(88.6759 27.6022)
Sikkim,South Sikkim,South Sikkim Sub-Division,Ambassa Ward-12,27.1976,88.3989,POINT(88.3989 27.1976)
Nagaland,Kohima,Kohima Sub-Division,Nongpoh Ward-13,25.6636,93.9737,POINT(93.9737 25.6636)
Nagaland,Dimapur,Dimapur Sub-Division,Hnahthial Ward-14,25.8581,93.8414,POINT(93.8414 25.8581)
Nagaland,Mokokchung,Mokokchung Sub-Division,Teliamura Ward-15,26.2507,94.3946,POINT(94.3946 26.2507)
Manipur,Imphal West,Imphal West Sub-Division,Lumla Ward-16,24.9526,93.8541,POINT(93.8541 24.9526)
Manipur,Bishnupur,Bishnupur Sub-Division,Dirang Ward-17,24.7087,93.8994,POINT(93.8994 24.7087)
Manipur,Senapati,Senapati Sub-Division,Gyalshing Ward-18,25.1816,94.0021,POINT(94.0021 25.1816)
Mizoram,Aizawl,Aizawl Sub-Division,Nongpoh Ward-19,23.7869,92.7977,POINT(92.7977 23.7869)
Mizoram,Kolasib,Kolasib Sub-Division,Nongpoh Ward-20,24.2855,92.7633,POINT(92.7633 24.2855)
Mizoram,Lunglei,Lunglei Sub-Division,Kalaigaon Ward-21,22.7377,92.6836,POINT(92.6836 22.7377)
Tripura,West Tripura,West Tripura Sub-Division,Dirang Ward-22,23.9639,91.1963,POINT(91.1963 23.9639)
Tripura,Sipahijala,Sipahijala Sub-Division,Sipajhar Ward-23,23.5156,91.3937,POINT(91.3937 23.5156)
Tripura,Dhalai,Dhalai Sub-Division,Hnahthial Ward-24,23.9389,91.8698,POINT(91.8698 23.9389)
Arunachal Pradesh,Tawang,Tawang Sub-Division,Rangia Ward-25,27.5473,91.8612,POINT(91.8612 27.5473)
Arunachal Pradesh,West Kameng,West Kameng Sub-Division,Tenga Ward-1,27.2616,92.396,POINT(92.396 27.2616)
Arunachal Pradesh,Papum Pare,Papum Pare Sub-Division,Moirang Ward-2,27.1626,93.5972,POINT(93.5972 27.1626)
Arunachal Pradesh,East Siang,East Siang Sub-Division,Lumla Ward-3,28.1008,95.4519,POINT(95.4519 28.1008)
Arunachal Pradesh,Lower Subansiri,Lower Subansiri Sub-Division,Ambassa Ward-4,27.6193,93.7605,POINT(93.7605 27.6193)
Assam,Kamrup Metropolitan,Kamrup Metropolitan Sub-Division,Chaygaon Ward-5,26.0782,91.7214,POINT(91.7214 26.0782)
Assam,Kamrup Rural,Kamrup Rural Sub-Division,Tenga Ward-6,26.1487,91.4206,POINT(91.4206 26.1487)
Assam,Darrang,Darrang Sub-Division,Rupa Ward-7,26.4084,91.9585,POINT(91.9585 26.4084)
Assam,Sonitpur,Sonitpur Sub-Division,Tseminyu Ward-8,26.5667,92.6456,POINT(92.6456 26.5667)
Assam,Dibrugarh,Dibrugarh Sub-Division,Chaygaon Ward-9,27.4694,94.9894,POINT(94.9894 27.4694)
Assam,Cachar,Cachar Sub-Division,Lumla Ward-10,24.8178,92.6341,POINT(92.6341 24.8178)
Assam,Nagaon,Nagaon Sub-Division,Moirang Ward-11,26.2871,92.7085,POINT(92.7085 26.2871)
Meghalaya,East Khasi Hills,East Khasi Hills Sub-Division,Singtam Ward-12,25.7278,91.9084,POINT(91.9084 25.7278)
Meghalaya,West Khasi Hills,West Khasi Hills Sub-Division,Teliamura Ward-13,25.4354,91.1462,POINT(91.1462 25.4354)
Meghalaya,Ri-Bhoi,Ri-Bhoi Sub-Division,Nongpoh Ward-14,26.0353,91.937,POINT(91.937 26.0353)
Meghalaya,West Jaintia Hills,West Jaintia Hills Sub-Division,Rangia Ward-15,25.5174,92.343,POINT(92.343 25.5174)
Sikkim,East Sikkim,East Sikkim Sub-Division,Jang Ward-16,27.4387,88.5454,POINT(88.5454 27.4387)
Sikkim,North Sikkim,North Sikkim Sub-Division,Sipajhar Ward-17,27.5102,88.4823,POINT(88.4823 27.5102)
Sikkim,South Sikkim,South Sikkim Sub-Division,Cherrapunji Ward-18,27.0579,88.4605,POINT(88.4605 27.0579)
Nagaland,Kohima,Kohima Sub-Division,Nambol Ward-19,25.6104,94.1022,POINT(94.1022 25.6104)
Nagaland,Dimapur,Dimapur Sub-Division,Mangan Ward-20,26.0391,93.7208,POINT(93.7208 26.0391)
Nagaland,Mokokchung,Mokokchung Sub-Division,Tenga Ward-21,26.3481,94.5759,POINT(94.5759 26.3481)
Manipur,Imphal West,Imphal West Sub-Division,Cherrapunji Ward-22,24.7582,94.085,POINT(94.085 24.7582)
Manipur,Bishnupur,Bishnupur Sub-Division,Sipajhar Ward-23,24.6612,93.8,POINT(93.8 24.6612)
Manipur,Senapati,Senapati Sub-Division,Teliamura Ward-24,25.2428,94.118,POINT(94.118 25.2428)
Mizoram,Aizawl,Aizawl Sub-Division,Bishalgarh Ward-25,23.76,92.7896,POINT(92.7896 23.76)
Mizoram,Kolasib,Kolasib Sub-Division,Teliamura Ward-1,24.2681,92.5771,POINT(92.5771 24.2681)
Mizoram,Lunglei,Lunglei Sub-Division,Nambol Ward-2,22.8526,92.7968,POINT(92.7968 22.8526)
Tripura,West Tripura,West Tripura Sub-Division,Mangan Ward-3,23.8936,91.3477,POINT(91.3477 23.8936)
Tripura,Sipahijala,Sipahijala Sub-Division,Teliamura Ward-4,23.5644,91.3994,POINT(91.3994 23.5644)
Tripura,Dhalai,Dhalai Sub-Division,Rangia Ward-5,23.8275,91.8634,POINT(91.8634 23.8275)
Arunachal Pradesh,Tawang,Tawang Sub-Division,Nongpoh Ward-6,27.4788,91.7273,POINT(91.7273 27.4788)
Arunachal Pradesh,West Kameng,West Kameng Sub-Division,Tseminyu Ward-7,27.2853,92.3525,POINT(92.3525 27.2853)
Arunachal Pradesh,Papum Pare,Papum Pare Sub-Division,Serchhip Ward-8,27.0712,93.5483,POINT(93.5483 27.0712)
Arunachal Pradesh,East Siang,East Siang Sub-Division,Chumukedima Ward-9,27.928,95.3056,POINT(95.3056 27.928)
Arunachal Pradesh,Lower Subansiri,Lower Subansiri Sub-Division,Mairang Ward-10,27.4687,93.8823,POINT(93.8823 27.4687)
Assam,Kamrup Metropolitan,Kamrup Metropolitan Sub-Division,Nongpoh Ward-11,26.2944,91.7879,POINT(91.7879 26.2944)
Assam,Kamrup Rural,Kamrup Rural Sub-Division,Tseminyu Ward-12,26.0876,91.5677,POINT(91.5677 26.0876)
Assam,Darrang,Darrang Sub-Division,Rangia Ward-13,26.4776,92.0714,POINT(92.0714 26.4776)
Assam,Sonitpur,Sonitpur Sub-Division,Serchhip Ward-14,26.6063,92.7389,POINT(92.7389 26.6063)
Assam,Dibrugarh,Dibrugarh Sub-Division,Nongpoh Ward-15,27.5309,94.8485,POINT(94.8485 27.5309)
Assam,Cachar,Cachar Sub-Division,Tseminyu Ward-16,24.6943,92.6553,POINT(92.6553 24.6943)
Assam,Nagaon,Nagaon Sub-Division,Gyalshing Ward-17,26.3165,92.6884,POINT(92.6884 26.3165)
Meghalaya,East Khasi Hills,East Khasi Hills Sub-Division,Lumla Ward-18,25.5528,91.7996,POINT(91.7996 25.5528)
Meghalaya,West Khasi Hills,West Khasi Hills Sub-Division,Jang Ward-19,25.4926,91.1255,POINT(91.1255 25.4926)
Meghalaya,Ri-Bhoi,Ri-Bhoi Sub-Division,Mangan Ward-20,25.8814,91.9395,POINT(91.9395 25.8814)
Meghalaya,West Jaintia Hills,West Jaintia Hills Sub-Division,Kalaigaon Ward-21,25.5398,92.2629,POINT(92.2629 25.5398)
Sikkim,East Sikkim,East Sikkim Sub-Division,Nongpoh Ward-22,27.2169,88.7542,POINT(88.7542 27.2169)
Sikkim,North Sikkim,North Sikkim Sub-Division,Rangia Ward-23,27.5443,88.4462,POINT(88.4462 27.5443)
Sikkim,South Sikkim,South Sikkim Sub-Division,Mangan Ward-24,27.102,88.4504,POINT(88.4504 27.102)
Nagaland,Kohima,Kohima Sub-Division,Gyalshing Ward-25,25.6402,94.2352,POINT(94.2352 25.6402)
Nagaland,Dimapur,Dimapur Sub-Division,Jang Ward-1,25.7777,93.8093,POINT(93.8093 25.7777)
Nagaland,Mokokchung,Mokokchung Sub-Division,Chaygaon Ward-2,26.3273,94.6162,POINT(94.6162 26.3273)
Manipur,Imphal West,Imphal West Sub-Division,Sipajhar Ward-3,24.841,93.9848,POINT(93.9848 24.841)
Manipur,Bishnupur,Bishnupur Sub-Division,Chumukedima Ward-4,24.5859,93.7801,POINT(93.7801 24.5859)
Manipur,Senapati,Senapati Sub-Division,Rupa Ward-5,25.3709,94.1542,POINT(94.1542 25.3709)
Mizoram,Aizawl,Aizawl Sub-Division,Bishalgarh Ward-6,23.8098,92.5807,POINT(92.5807 23.8098)
Mizoram,Kolasib,Kolasib Sub-Division,Nongpoh Ward-7,24.1844,92.8265,POINT(92.8265 24.1844)
Mizoram,Lunglei,Lunglei Sub-Division,Tenga Ward-8,22.8786,92.6011,POINT(92.6011 22.8786)
Tripura,West Tripura,West Tripura Sub-Division,Tseminyu Ward-9,23.7116,91.3903,POINT(91.3903 23.7116)
Tripura,Sipahijala,Sipahijala Sub-Division,Rangia Ward-10,23.7017,91.285,POINT(91.285 23.7017)
Tripura,Dhalai,Dhalai Sub-Division,Moirang Ward-11,23.9345,91.7795,POINT(91.7795 23.9345)
Arunachal Pradesh,Tawang,Tawang Sub-Division,Teliamura Ward-12,27.6916,91.9651,POINT(91.9651 27.6916)
Arunachal Pradesh,West Kameng,West Kameng Sub-Division,Mangan Ward-13,27.3025,92.5321,POINT(92.5321 27.3025)
Arunachal Pradesh,Papum Pare,Papum Pare Sub-Division,Singtam Ward-14,26.9709,93.6559,POINT(93.6559 26.9709)
Arunachal Pradesh,East Siang,East Siang Sub-Division,Kalaigaon Ward-15,27.9431,95.4695,POINT(95.4695 27.9431)
Arunachal Pradesh,Lower Subansiri,Lower Subansiri Sub-Division,Bishalgarh Ward-16,27.5331,93.8882,POINT(93.8882 27.5331)
Assam,Kamrup Metropolitan,Kamrup Metropolitan Sub-Division,Rupa Ward-17,26.0113,91.6937,POINT(91.6937 26.0113)
Assam,Kamrup Rural,Kamrup Rural Sub-Division,Moirang Ward-18,26.2048,91.6498,POINT(91.6498 26.2048)
Assam,Darrang,Darrang Sub-Division,Nambol Ward-19,26.4168,92.0859,POINT(92.0859 26.4168)
Assam,Sonitpur,Sonitpur Sub-Division,Rangia Ward-20,26.6221,92.7188,POINT(92.7188 26.6221)
Assam,Dibrugarh,Dibrugarh Sub-Division,Nambol Ward-21,27.4624,94.8483,POINT(94.8483 27.4624)
Assam,Cachar,Cachar Sub-Division,Tenga Ward-22,24.787,92.8052,POINT(92.8052 24.787)
Assam,Nagaon,Nagaon Sub-Division,Lumla Ward-23,26.3323,92.6246,POINT(92.6246 26.3323)
Meghalaya,East Khasi Hills,East Khasi Hills Sub-Division,Mairang Ward-24,25.5432,91.851,POINT(91.851 25.5432)
Meghalaya,West Khasi Hills,West Khasi Hills Sub-Division,Chaygaon Ward-25,25.6534,91.3075,POINT(91.3075 25.6534)
Meghalaya,Ri-Bhoi,Ri-Bhoi Sub-Division,Nongpoh Ward-1,25.9835,92.0221,POINT(92.0221 25.9835)
Meghalaya,West Jaintia Hills,West Jaintia Hills Sub-Division,Tenga Ward-2,25.5712,92.1359,POINT(92.1359 25.5712)
Sikkim,East Sikkim,East Sikkim Sub-Division,Rupa Ward-3,27.2546,88.5135,POINT(88.5135 27.2546)
Sikkim,North Sikkim,North Sikkim Sub-Division,Ambassa Ward-4,27.5478,88.6515,POINT(88.6515 27.5478)
Sikkim,South Sikkim,South Sikkim Sub-Division,Nongpoh Ward-5,27.0318,88.4366,POINT(88.4366 27.0318)
Nagaland,Kohima,Kohima Sub-Division,Tenga Ward-6,25.5521,94.0471,POINT(94.0471 25.5521)
Nagaland,Dimapur,Dimapur Sub-Division,Lumla Ward-7,25.9928,93.8404,POINT(93.8404 25.9928)
Nagaland,Mokokchung,Mokokchung Sub-Division,Mairang Ward-8,26.4241,94.4471,POINT(94.4471 26.4241)
Manipur,Imphal West,Imphal West Sub-Division,Jang Ward-9,24.7555,94.0479,POINT(94.0479 24.7555)
Manipur,Bishnupur,Bishnupur Sub-Division,Teliamura Ward-10,24.5246,93.9045,POINT(93.9045 24.5246)
Manipur,Senapati,Senapati Sub-Division,Ambassa Ward-11,25.2292,94.1137,POINT(94.1137 25.2292)
Mizoram,Aizawl,Aizawl Sub-Division,Mairang Ward-12,23.5813,92.7286,POINT(92.7286 23.5813)
Mizoram,Kolasib,Kolasib Sub-Division,Teliamura Ward-13,24.1486,92.6443,POINT(92.6443 24.1486)
Mizoram,Lunglei,Lunglei Sub-Division,Dirang Ward-14,22.8001,92.5975,POINT(92.5975 22.8001)
Tripura,West Tripura,West Tripura Sub-Division,Sipajhar Ward-15,23.8645,91.3311,POINT(91.3311 23.8645)
Tripura,Sipahijala,Sipahijala Sub-Division,Dirang Ward-16,23.5757,91.2845,POINT(91.2845 23.5757)
Tripura,Dhalai,Dhalai Sub-Division,Bishalgarh Ward-17,23.9988,91.7348,POINT(91.7348 23.9988)
Arunachal Pradesh,Tawang,Tawang Sub-Division,Dirang Ward-18,27.5722,91.9105,POINT(91.9105 27.5722)
Arunachal Pradesh,West Kameng,West Kameng Sub-Division,Ambassa Ward-19,27.2907,92.4839,POINT(92.4839 27.2907)
Arunachal Pradesh,Papum Pare,Papum Pare Sub-Division,Singtam Ward-20,27.0972,93.589,POINT(93.589 27.0972)
Arunachal Pradesh,East Siang,East Siang Sub-Division,Hnahthial Ward-21,28.049,95.4612,POINT(95.4612 28.049)
Arunachal Pradesh,Lower Subansiri,Lower Subansiri Sub-Division,Chaygaon Ward-22,27.5102,93.9505,POINT(93.9505 27.5102)
Assam,Kamrup Metropolitan,Kamrup Metropolitan Sub-Division,Singtam Ward-23,26.0514,91.6228,POINT(91.6228 26.0514)
Assam,Kamrup Rural,Kamrup Rural Sub-Division,Chaygaon Ward-24,26.0986,91.6038,POINT(91.6038 26.0986)
