terrain_id,state,district,latitude,longitude,elevation_m,slope_percent,aspect,terrain_type,river_distance_km
TR000064,Arunachal Pradesh,West Kameng,27.3861,92.5197,2151,38.7,NORTH,STEEP_MOUNTAIN,4.79
TR000065,Arunachal Pradesh,Papum Pare,26.9636,93.5667,276,19.2,NORTH,DISSECTED_HILLS,1.12
TR000066,Arunachal Pradesh,East Siang,28.1384,95.3415,149,9.5,NORTH_EAST,RIVER_VALLEY,0.22
TR000067,Arunachal Pradesh,Lower Subansiri,27.6835,93.8873,1519,32.6,NORTH_WEST,STEEP_MOUNTAIN,3.09
TR000068,Assam,Kamrup Metropolitan,26.1693,91.6306,20,0.4,WEST,PLAINS,0.79
TR000069,Assam,Kamrup Rural,26.3149,91.7037,20,2.9,EAST,PLAINS,0.49
TR000070,Assam,Darrang,26.3769,91.9118,91,1.4,NORTH,FLOOD_BASIN,0.62
TR000071,Assam,Sonitpur,26.776,92.8674,136,4.2,NORTH,RIVER_VALLEY,0.81
TR000072,Assam,Dibrugarh,27.6157,95.0052,160,0.4,NORTH_WEST,FLOOD_BASIN,0.27
TR000073,Assam,Cachar,24.9606,92.8636,20,3.3,EAST,FLOOD_BASIN,0.51
TR000074,Assam,Nagaon,26.4384,92.614,104,2.0,NORTH_WEST,PLAINS,0.7
TR000075,Meghalaya,East Khasi Hills,25.4404,91.8845,1455,32.1,NORTH,PLATEAU_ESCARPMENT,2.25
TR000076,Meghalaya,West Khasi Hills,25.4516,91.3486,1249,26.6,NORTH,PLATEAU_ESCARPMENT,1.98
TR000077,Meghalaya,Ri-Bhoi,25.8695,91.8136,498,18.8,SOUTH_WEST,DISSECTED_HILLS,1.43
TR000078,Meghalaya,West Jaintia Hills,25.4924,92.1699,1377,26.2,EAST,DISSECTED_HILLS,1.46
TR000079,Sikkim,East Sikkim,27.2235,88.7476,1612,42.4,SOUTH_WEST,VALLEY_GORGE,0.49
TR000080,Sikkim,North Sikkim,27.3615,88.579,2434,49.6,SOUTH,HIGH_ALPINE,0.25
TR000081,Sikkim,South Sikkim,27.2019,88.3534,1289,38.2,WEST,VALLEY_GORGE,0.27
TR000082,Nagaland,Kohima,25.5384,94.0894,1446,37.9,SOUTH_EAST,DISSECTED_HILLS,1.9
TR000083,Nagaland,Dimapur,25.9726,93.8001,220,2.3,NORTH,PLAINS,0.93
TR000084,Nagaland,Mokokchung,26.4597,94.6462,1339,30.1,WEST,DISSECTED_HILLS,2.4
TR000085,Manipur,Imphal West,24.8829,93.8769,764,3.0,SOUTH,RIVER_VALLEY,0.46
TR000086,Manipur,Bishnupur,24.6916,93.7808,734,3.1,WEST,RIVER_VALLEY,0.66
TR000087,Manipur,Senapati,25.3132,94.1308,1268,29.8,WEST,DISSECTED_HILLS,1.41
TR000088,Mizoram,Aizawl,23.8272,92.6588,1096,32.6,EAST,RIDGE_SLOPE,2.13
TR000089,Mizoram,Kolasib,24.2664,92.6695,606,25.4,SOUTH,DISSECTED_HILLS,1.28
TR000090,Mizoram,Lunglei,22.9681,92.8779,1054,29.8,SOUTH_EAST,RIDGE_SLOPE,2.31
TR000091,Tripura,West Tripura,23.8361,91.3267,20,0.4,SOUTH,ROLLING_PLAINS,1.57
TR000092,Tripura,Sipahijala,23.5555,91.2551,75,1.5,NORTH_EAST,ROLLING_PLAINS,2.57
TR000093,Tripura,Dhalai,23.7735,91.8425,188,13.3,SOUTH_EAST,LOW_HILLS,1.65
TR000094,Arunachal Pradesh,Tawang,27.7019,91.8821,2931,45.5,SOUTH,HIGH_ALPINE,5.27
TR000095,Arunachal Pradesh,West Kameng,27.1877,92.4627,2140,40.0,EAST,STEEP_MOUNTAIN,4.81
TR000096,Arunachal Pradesh,Papum Pare,27.216,93.7001,288,16.9,SOUTH_WEST,DISSECTED_HILLS,1.57
TR000097,Arunachal Pradesh,East Siang,28.0714,95.1911,126,11.3,SOUTH_WEST,RIVER_VALLEY,0.23
TR000098,Arunachal Pradesh,Lower Subansiri,27.44,93.8194,1567,34.8,SOUTH,STEEP_MOUNTAIN,2.94
TR000099,Assam,Kamrup Metropolitan,26.2795,91.8536,73,2.8,SOUTH_WEST,PLAINS,1.13
TR000100,Assam,Kamrup Rural,26.163,91.6841,55,2.9,SOUTH_WEST,PLAINS,0.83
TR000101,Assam,Darrang,26.4444,91.9588,23,2.8,EAST,FLOOD_BASIN,0.23
TR000102,Assam,Sonitpur,26.7171,92.788,48,1.0,EAST,RIVER_VALLEY,0.3
TR000103,Assam,Dibrugarh,27.4085,94.8435,88,2.8,NORTH_EAST,FLOOD_BASIN,0.2
TR000104,Assam,Cachar,24.7285,92.7438,20,2.8,WEST,FLOOD_BASIN,0.05
TR000105,Assam,Nagaon,26.3175,92.6968,57,0.4,NORTH_WEST,PLAINS,0.99
TR000106,Meghalaya,East Khasi Hills,25.5456,91.9742,1519,28.1,EAST,PLATEAU_ESCARPMENT,2.52
TR000107,Meghalaya,West Khasi Hills,25.5327,91.2531,1340,27.3,EAST,PLATEAU_ESCARPMENT,2.04
TR000108,Meghalaya,Ri-Bhoi,26.006,92.016,543,16.7,SOUTH_EAST,DISSECTED_HILLS,1.73
TR000109,Meghalaya,West Jaintia Hills,25.54,92.3193,1332,24.6,SOUTH,DISSECTED_HILLS,1.13
TR000110,Sikkim,East Sikkim,27.1976,88.5573,1676,43.5,NORTH,VALLEY_GORGE,0.32
TR000111,Sikkim,North Sikkim,27.6022,88.6759,2469,48.7,EAST,HIGH_ALPINE,0.64
TR000112,Sikkim,South Sikkim,27.1976,88.3989,1250,36.9,NORTH_WEST,VALLEY_GORGE,0.24
TR000113,Nagaland,Kohima,25.6636,93.9737,1428,34.9,SOUTH_WEST,DISSECTED_HILLS,1.85
TR000114,Nagaland,Dimapur,25.8581,93.8414,170,5.1,NORTH_WEST,PLAINS,1.19
TR000115,Nagaland,Mokokchung,26.2507,94.3946,1262,32.2,SOUTH_EAST,DISSECTED_HILLS,1.88
TR000116,Manipur,Imphal West,24.9526,93.8541,733,3.6,WEST,RIVER_VALLEY,0.67
TR000117,Manipur,Bishnupur,24.7087,93.8994,735,5.2,SOUTH_EAST,RIVER_VALLEY,0.45
TR000118,Manipur,Senapati,25.1816,94.0021,1204,29.8,NORTH_WEST,DISSECTED_HILLS,1.29
TR000119,Mizoram,Aizawl,23.7869,92.7977,1091,33.5,SOUTH_WEST,RIDGE_SLOPE,2.38
TR000120,Mizoram,Kolasib,24.2855,92.7633,570,26.8,SOUTH_WEST,DISSECTED_HILLS,1.02
TR000121,Mizoram,Lunglei,22.7377,92.6836,1046,33.5,SOUTH_EAST,RIDGE_SLOPE,2.49
TR000122,Tripura,West Tripura,23.9639,91.1963,50,3.1,EAST,ROLLING_PLAINS,1.36
TR000123,Tripura,Sipahijala,23.5156,91.3937,80,3.9,SOUTH,ROLLING_PLAINS,3.07
TR000124,Tripura,Dhalai,23.9389,91.8698,85,11.2,WEST,LOW_HILLS,1.63
TR000125,Arunachal Pradesh,Tawang,27.5473,91.8612,2883,42.1,WEST,HIGH_ALPINE,5.22
TR000126,Arunachal Pradesh,West Kameng,27.2616,92.396,2186,38.7,WEST,STEEP_MOUNTAIN,4.79
TR000127,Arunachal Pradesh,Papum Pare,27.1626,93.5972,353,18.6,NORTH_WEST,DISSECTED_HILLS,1.37
TR000128,Arunachal Pradesh,East Siang,28.1008,95.4519,194,9.1,WEST,RIVER_VALLEY,0.43
TR000129,Arunachal Pradesh,Lower Subansiri,27.6193,93.7605,1609,31.1,NORTH_EAST,STEEP_MOUNTAIN,3.16
TR000130,Assam,Kamrup Metropolitan,26.0782,91.7214,91,1.0,SOUTH_EAST,PLAINS,0.95
TR000131,Assam,Kamrup Rural,26.1487,91.4206,106,0.4,WEST,PLAINS,0.67
TR000132,Assam,Darrang,26.4084,91.9585,27,3.0,NORTH_EAST,FLOOD_BASIN,0.51
TR000133,Assam,Sonitpur,26.5667,92.6456,42,0.4,NORTH_WEST,RIVER_VALLEY,0.72
TR000134,Assam,Dibrugarh,27.4694,94.9894,136,0.7,SOUTH_EAST,FLOOD_BASIN,0.61
TR000135,Assam,Cachar,24.8178,92.6341,20,0.4,WEST,FLOOD_BASIN,0.4
TR000136,Assam,Nagaon,26.2871,92.7085,64,1.3,WEST,PLAINS,0.67
TR000137,Meghalaya,East Khasi Hills,25.7278,91.9084,1475,31.5,SOUTH_WEST,PLATEAU_ESCARPMENT,2.13
TR000138,Meghalaya,West Khasi Hills,25.4354,91.1462,1244,27.1,SOUTH,PLATEAU_ESCARPMENT,2.03
TR000139,Meghalaya,Ri-Bhoi,26.0353,91.937,514,15.1,NORTH,DISSECTED_HILLS,1.56
TR000140,Meghalaya,West Jaintia Hills,25.5174,92.343,1337,26.5,SOUTH_EAST,DISSECTED_HILLS,1.49
TR000141,Sikkim,East Sikkim,27.4387,88.5454,1636,40.4,SOUTH_WEST,VALLEY_GORGE,0.05
TR000142,Sikkim,North Sikkim,27.5102,88.4823,2396,48.8,WEST,HIGH_ALPINE,0.5
TR000143,Sikkim,South Sikkim,27.0579,88.4605,1302,34.2,NORTH_WEST,VALLEY_GORGE,0.16
TR000144,Nagaland,Kohima,25.6104,94.1022,1423,34.2,SOUTH,DISSECTED_HILLS,1.58
TR000145,Nagaland,Dimapur,26.0391,93.7208,240,1.6,EAST,PLAINS,0.97
TR000146,Nagaland,Mokokchung,26.3481,94.5759,1279,29.2,NORTH_EAST,DISSECTED_HILLS,2.22
TR000147,Manipur,Imphal West,24.7582,94.085,740,2.5,EAST,RIVER_VALLEY,0.52
TR000148,Manipur,Bishnupur,24.6612,93.8,809,3.6,SOUTH_EAST,RIVER_VALLEY,0.34
TR000149,Manipur,Senapati,25.2428,94.118,1244,28.5,NORTH,DISSECTED_HILLS,1.55
TR000150,Mizoram,Aizawl,23.76,92.7896,1167,31.5,SOUTH,RIDGE_SLOPE,1.89
TR000151,Mizoram,Kolasib,24.2681,92.5771,572,24.8,SOUTH_EAST,DISSECTED_HILLS,1.05
TR000152,Mizoram,Lunglei,22.8526,92.7968,1020,30.5,NORTH_EAST,RIDGE_SLOPE,2.4
TR000153,Tripura,West Tripura,23.8936,91.3477,33,0.4,NORTH_EAST,ROLLING_PLAINS,1.1
TR000154,Tripura,Sipahijala,23.5644,91.3994,47,3.8,SOUTH_EAST,ROLLING_PLAINS,3.16
TR000155,Tripura,Dhalai,23.8275,91.8634,162,10.2,NORTH,LOW_HILLS,1.52
TR000156,Arunachal Pradesh,Tawang,27.4788,91.7273,2941,43.5,NORTH_EAST,HIGH_ALPINE,5.44
TR000157,Arunachal Pradesh,West Kameng,27.2853,92.3525,2155,37.8,EAST,STEEP_MOUNTAIN,4.45
TR000158,Arunachal Pradesh,Papum Pare,27.0712,93.5483,329,18.5,NORTH_EAST,DISSECTED_HILLS,1.0
TR000159,Arunachal Pradesh,East Siang,27.928,95.3056,136,9.7,SOUTH_WEST,RIVER_VALLEY,0.17
TR000160,Arunachal Pradesh,Lower Subansiri,27.4687,93.8823,1610,32.8,SOUTH_WEST,STEEP_MOUNTAIN,3.17
TR000161,Assam,Kamrup Metropolitan,26.2944,91.7879,29,1.6,NORTH,PLAINS,1.05
TR000162,Assam,Kamrup Rural,26.0876,91.5677,54,3.0,NORTH,PLAINS,0.47
TR000163,Assam,Darrang,26.4776,92.0714,54,3.4,NORTH_EAST,FLOOD_BASIN,0.36
TR000164,Assam,Sonitpur,26.6063,92.7389,31,3.9,NORTH_WEST,RIVER_VALLEY,0.46
TR000165,Assam,Dibrugarh,27.5309,94.8485,168,0.4,EAST,FLOOD_BASIN,0.64
TR000166,Assam,Cachar,24.6943,92.6553,20,0.9,EAST,FLOOD_BASIN,0.58
TR000167,Assam,Nagaon,26.3165,92.6884,20,1.8,SOUTH_WEST,PLAINS,0.8
TR000168,Meghalaya,East Khasi Hills,25.5528,91.7996,1476,31.1,WEST,PLATEAU_ESCARPMENT,2.27
TR000169,Meghalaya,West Khasi Hills,25.4926,91.1255,1254,28.2,WEST,PLATEAU_ESCARPMENT,2.15
TR000170,Meghalaya,Ri-Bhoi,25.8814,91.9395,505,14.1,SOUTH,DISSECTED_HILLS,1.66
TR000171,Meghalaya,West Jaintia Hills,25.5398,92.2629,1309,26.3,NORTH_EAST,DISSECTED_HILLS,1.21
TR000172,Sikkim,East Sikkim,27.2169,88.7542,1706,40.1,NORTH_WEST,VALLEY_GORGE,0.47
TR000173,Sikkim,North Sikkim,27.5443,88.4462,2509,49.6,SOUTH,HIGH_ALPINE,0.38
TR000174,Sikkim,South Sikkim,27.102,88.4504,1300,34.9,EAST,VALLEY_GORGE,0.51
TR000175,Nagaland,Kohima,25.6402,94.2352,1445,37.0,SOUTH,DISSECTED_HILLS,1.64
TR000176,Nagaland,Dimapur,25.7777,93.8093,244,3.4,NORTH,PLAINS,1.26
TR000177,Nagaland,Mokokchung,26.3273,94.6162,1296,32.1,WEST,DISSECTED_HILLS,2.39
TR000178,Manipur,Imphal West,24.841,93.9848,835,0.4,SOUTH,RIVER_VALLEY,0.6
TR000179,Manipur,Bishnupur,24.5859,93.7801,779,2.9,NORTH,RIVER_VALLEY,0.66
TR000180,Manipur,Senapati,25.3709,94.1542,1220,29.9,WEST,DISSECTED_HILLS,1.3
TR000181,Mizoram,Aizawl,23.8098,92.5807,1165,32.9,SOUTH_WEST,RIDGE_SLOPE,2.34
TR000182,Mizoram,Kolasib,24.1844,92.8265,651,26.1,NORTH,DISSECTED_HILLS,1.59
TR000183,Mizoram,Lunglei,22.8786,92.6011,1024,33.8,WEST,RIDGE_SLOPE,2.47
TR000184,Tripura,West Tripura,23.7116,91.3903,20,2.2,SOUTH,ROLLING_PLAINS,1.25
TR000185,Tripura,Sipahijala,23.7017,91.285,55,5.3,SOUTH_EAST,ROLLING_PLAINS,2.6
TR000186,Tripura,Dhalai,23.9345,91.7795,159,13.0,SOUTH,LOW_HILLS,1.77
TR000187,Arunachal Pradesh,Tawang,27.6916,91.9651,2949,44.7,SOUTH_WEST,HIGH_ALPINE,5.57
TR000188,Arunachal Pradesh,West Kameng,27.3025,92.5321,2202,39.9,NORTH_WEST,STEEP_MOUNTAIN,4.27
TR000189,Arunachal Pradesh,Papum Pare,26.9709,93.6559,377,17.4,SOUTH_WEST,DISSECTED_HILLS,1.1
TR000190,Arunachal Pradesh,East Siang,27.9431,95.4695,192,9.9,EAST,RIVER_VALLEY,0.72
TR000191,Arunachal Pradesh,Lower Subansiri,27.5331,93.8882,1615,30.0,SOUTH_EAST,STEEP_MOUNTAIN,2.76
TR000192,Assam,Kamrup Metropolitan,26.0113,91.6937,50,0.4,EAST,PLAINS,0.9
TR000193,Assam,Kamrup Rural,26.2048,91.6498,20,0.4,SOUTH,PLAINS,0.75
TR000194,Assam,Darrang,26.4168,92.0859,55,3.2,NORTH_WEST,FLOOD_BASIN,0.14
TR000195,Assam,Sonitpur,26.6221,92.7188,50,2.9,NORTH_EAST,RIVER_VALLEY,0.83
TR000196,Assam,Dibrugarh,27.4624,94.8483,117,0.4,NORTH_EAST,FLOOD_BASIN,0.44
TR000197,Assam,Cachar,24.787,92.8052,46,4.1,SOUTH,FLOOD_BASIN,0.4
TR000198,Assam,Nagaon,26.3323,92.6246,53,2.8,WEST,PLAINS,0.52
TR000199,Meghalaya,East Khasi Hills,25.5432,91.851,1467,33.0,EAST,PLATEAU_ESCARPMENT,2.14
TR000200,Meghalaya,West Khasi Hills,25.6534,91.3075,1255,25.5,NORTH_WEST,PLATEAU_ESCARPMENT,2.11
TR000201,Meghalaya,Ri-Bhoi,25.9835,92.0221,606,17.0,NORTH_WEST,DISSECTED_HILLS,1.57
TR000202,Meghalaya,West Jaintia Hills,25.5712,92.1359,1372,24.7,EAST,DISSECTED_HILLS,1.37
TR000203,Sikkim,East Sikkim,27.2546,88.5135,1622,42.9,NORTH,VALLEY_GORGE,0.32
TR000204,Sikkim,North Sikkim,27.5478,88.6515,2470,46.5,NORTH,HIGH_ALPINE,0.46
TR000205,Sikkim,South Sikkim,27.0318,88.4366,1244,36.6,NORTH_WEST,VALLEY_GORGE,0.63
TR000206,Nagaland,Kohima,25.5521,94.0471,1475,35.4,SOUTH,DISSECTED_HILLS,1.68
TR000207,Nagaland,Dimapur,25.9928,93.8404,181,4.0,SOUTH_EAST,PLAINS,1.24
TR000208,Nagaland,Mokokchung,26.4241,94.4471,1365,33.2,SOUTH_WEST,DISSECTED_HILLS,2.48
TR000209,Manipur,Imphal West,24.7555,94.0479,827,0.4,SOUTH_WEST,RIVER_VALLEY,0.88
TR000210,Manipur,Bishnupur,24.5246,93.9045,820,4.4,SOUTH_EAST,RIVER_VALLEY,0.49
TR000211,Manipur,Senapati,25.2292,94.1137,1261,28.8,NORTH_EAST,DISSECTED_HILLS,1.66
TR000212,Mizoram,Aizawl,23.5813,92.7286,1128,32.3,NORTH,RIDGE_SLOPE,2.24
TR000213,Mizoram,Kolasib,24.1486,92.6443,631,26.7,WEST,DISSECTED_HILLS,1.02
TR000214,Mizoram,Lunglei,22.8001,92.5975,1073,33.7,WEST,RIDGE_SLOPE,2.46
TR000215,Tripura,West Tripura,23.8645,91.3311,56,3.7,WEST,ROLLING_PLAINS,1.54
TR000216,Tripura,Sipahijala,23.5757,91.2845,20,0.7,NORTH_EAST,ROLLING_PLAINS,2.57
TR000217,Tripura,Dhalai,23.9988,91.7348,110,13.9,EAST,LOW_HILLS,1.44
TR000218,Arunachal Pradesh,Tawang,27.5722,91.9105,2935,45.5,NORTH_EAST,HIGH_ALPINE,5.3
TR000219,Arunachal Pradesh,West Kameng,27.2907,92.4839,2253,37.6,WEST,STEEP_MOUNTAIN,4.31
TR000220,Arunachal Pradesh,Papum Pare,27.0972,93.589,295,16.2,SOUTH,DISSECTED_HILLS,1.19
TR000221,Arunachal Pradesh,East Siang,28.049,95.4612,204,8.5,NORTH_EAST,RIVER_VALLEY,0.79
TR000222,Arunachal Pradesh,Lower Subansiri,27.5102,93.9505,1582,31.7,SOUTH_EAST,STEEP_MOUNTAIN,2.81
TR000223,Assam,Kamrup Metropolitan,26.0514,91.6228,103,2.8,EAST,PLAINS,0.61
TR000224,Assam,Kamrup Rural,26.0986,91.6038,20,0.4,NORTH,PLAINS,0.57
TR000225,Assam,Darrang,26.5986,92.1171,20,0.4,WEST,FLOOD_BASIN,0.55
TR000226,Assam,Sonitpur,26.5459,92.7074,129,0.8,SOUTH_EAST,RIVER_VALLEY,0.75
TR000227,Assam,Dibrugarh,27.5594,94.9408,83,2.6,SOUTH_WEST,FLOOD_BASIN,0.24
TR000228,Assam,Cachar,24.7223,92.7041,20,0.4,NORTH_WEST,FLOOD_BASIN,0.51
TR000229,Assam,Nagaon,26.2347,92.6415,104,0.4,EAST,PLAINS,0.66
TR000230,Meghalaya,East Khasi Hills,25.4811,91.759,1524,30.1,NORTH_EAST,PLATEAU_ESCARPMENT,2.02
TR000231,Meghalaya,West Khasi Hills,25.3791,91.2445,1266,28.1,EAST,PLATEAU_ESCARPMENT,1.62
TR000232,Meghalaya,Ri-Bhoi,25.9012,92.0136,495,17.6,SOUTH_WEST,DISSECTED_HILLS,1.84
TR000233,Meghalaya,West Jaintia Hills,25.4977,92.1405,1352,28.3,NORTH_EAST,DISSECTED_HILLS,0.89
TR000234,Sikkim,East Sikkim,27.3326,88.577,1677,40.0,WEST,VALLEY_GORGE,0.31
TR000235,Sikkim,North Sikkim,27.4831,88.6698,2431,49.0,NORTH,HIGH_ALPINE,0.09
TR000236,Sikkim,South Sikkim,27.1025,88.3899,1310,37.3,SOUTH_EAST,VALLEY_GORGE,0.4
TR000237,Nagaland,Kohima,25.7043,94.0471,1444,36.3,NORTH,DISSECTED_HILLS,1.61
TR000238,Nagaland,Dimapur,25.9673,93.8333,218,5.7,SOUTH_WEST,PLAINS,1.01
TR000239,Nagaland,Mokokchung,26.4346,94.499,1373,29.6,EAST,DISSECTED_HILLS,2.07
TR000240,Manipur,Imphal West,24.803,93.9116,737,1.3,NORTH_EAST,RIVER_VALLEY,0.45
TR000241,Manipur,Bishnupur,24.5589,93.9006,797,5.6,SOUTH_WEST,RIVER_VALLEY,0.09
TR000242,Manipur,Senapati,25.3595,93.888,1202,30.7,EAST,DISSECTED_HILLS,1.39
TR000243,Mizoram,Aizawl,23.6161,92.5856,1141,33.3,SOUTH_WEST,RIDGE_SLOPE,2.19
TR000244,Mizoram,Kolasib,24.1932,92.7921,670,25.8,NORTH_WEST,DISSECTED_HILLS,1.51
TR000245,Mizoram,Lunglei,22.9463,92.8805,1036,30.6,SOUTH,RIDGE_SLOPE,2.32
