flood_id,date,state,district,latitude,longitude,rainfall_24h_mm,river_level_m,river_distance_km,elevation_m,flood_occurred,severity,road_blocked,duration_hours,current_system_score
FL000024,2025-04-03,Manipur,Bishnupur,24.7077,93.8451,4.1,6.36,0.33,753,0,NONE,0,0.0,0.152
FL000025,2025-04-03,Manipur,Senapati,25.2461,94.1461,3.3,5.71,1.78,1302,0,NONE,0,0.0,0.184
FL000026,2025-04-03,Mizoram,Aizawl,23.8057,92.7199,11.3,5.77,1.94,1083,0,NONE,0,0.0,0.303
FL000027,2025-04-03,Mizoram,Kolasib,24.2617,92.7127,0.2,6.36,1.06,569,0,NONE,0,0.0,0.092
FL000028,2025-04-03,Mizoram,Lunglei,23.016,92.8667,5.9,5.1,2.46,1077,0,NONE,0,0.0,0.205
FL000029,2025-04-04,Tripura,West Tripura,23.6873,91.4155,14.0,3.65,1.47,87,0,NONE,0,0.0,0.233
FL000030,2025-04-04,Tripura,Sipahijala,23.5568,91.2343,0.5,3.03,2.61,44,0,NONE,0,0.0,0.037
FL000031,2025-04-04,Tripura,Dhalai,23.8458,91.7208,8.1,5.11,1.43,177,0,NONE,0,0.0,0.239
FL000032,2025-04-04,Arunachal Pradesh,Tawang,27.634,91.9935,3.4,4.02,5.52,2861,0,NONE,0,0.0,0.081
FL000033,2025-04-04,Arunachal Pradesh,West Kameng,27.2414,92.3294,3.6,2.69,4.7,2209,0,NONE,0,0.0,0.043
FL000034,2025-04-04,Arunachal Pradesh,Papum Pare,27.1643,93.5863,8.5,4.66,1.23,345,0,NONE,0,0.0,0.362
FL000035,2025-04-04,Arunachal Pradesh,East Siang,28.0713,95.2123,12.1,2.63,0.16,123,0,NONE,0,0.0,0.368
FL000036,2025-04-04,Arunachal Pradesh,Lower Subansiri,27.5662,93.8565,10.8,2.81,2.96,1500,0,NONE,0,0.0,0.311
FL000037,2025-04-04,Assam,Kamrup Metropolitan,26.0632,91.8578,11.5,3.21,0.88,105,0,NONE,0,0.0,0.13
FL000038,2025-04-04,Assam,Kamrup Rural,26.1185,91.5576,8.7,4.62,0.96,67,0,NONE,0,0.0,0.055
FL000039,2025-04-05,Assam,Darrang,26.4733,92.0228,11.4,3.5,0.31,92,0,NONE,0,0.0,0.266
FL000040,2025-04-05,Assam,Sonitpur,26.5121,92.8403,7.6,3.52,0.55,63,0,NONE,0,0.0,0.178
FL000041,2025-04-05,Assam,Dibrugarh,27.5415,94.964,2.6,4.53,0.41,130,0,NONE,0,0.0,0.064
FL000042,2025-04-05,Assam,Cachar,24.7851,92.8874,3.9,4.63,0.3,20,0,NONE,0,0.0,0.198
FL000043,2025-04-05,Assam,Nagaon,26.2373,92.589,3.5,6.17,1.05,63,0,NONE,0,0.0,0.032
FL000044,2025-04-05,Meghalaya,East Khasi Hills,25.5617,92.0017,9.1,5.66,2.37,1500,0,NONE,0,0.0,0.347
FL000045,2025-04-05,Meghalaya,West Khasi Hills,25.5222,91.1144,4.0,4.86,2.1,1231,0,NONE,0,0.0,0.113
FL000046,2025-04-05,Meghalaya,Ri-Bhoi,25.7999,91.8757,11.3,5.79,1.84,517,0,NONE,0,0.0,0.259
FL000047,2025-04-05,Meghalaya,West Jaintia Hills,25.3494,92.0506,4.1,3.92,1.36,1319,0,NONE,0,0.0,0.132
FL000048,2025-04-05,Sikkim,East Sikkim,27.3254,88.5834,7.9,5.93,0.21,1683,0,NONE,0,0.0,0.207
FL000049,2025-04-06,Sikkim,North Sikkim,27.5655,88.4464,3.8,3.79,0.09,2427,0,NONE,0,0.0,0.217
FL000050,2025-04-06,Sikkim,South Sikkim,27.2407,88.2183,12.2,3.66,0.53,1280,0,NONE,0,0.0,0.087
FL000051,2025-04-06,Nagaland,Kohima,25.676,94.2144,1.1,3.92,1.88,1400,0,NONE,0,0.0,0.369
FL000052,2025-04-06,Nagaland,Dimapur,26.0122,93.5981,10.8,4.6,0.8,143,0,NONE,0,0.0,0.299
FL000053,2025-04-06,Nagaland,Mokokchung,26.211,94.6371,8.2,4.98,1.88,1291,0,NONE,0,0.0,0.358
FL000054,2025-04-06,Manipur,Imphal West,24.6916,93.984,1.8,4.89,0.86,797,0,NONE,0,0.0,0.342
FL000055,2025-04-06,Manipur,Bishnupur,24.5437,93.8294,5.6,2.65,0.14,740,0,NONE,0,0.0,0.235
FL000056,2025-04-06,Manipur,Senapati,25.3037,93.9972,11.3,2.82,1.2,1308,0,NONE,0,0.0,0.352
FL000057,2025-04-06,Mizoram,Aizawl,23.7146,92.8671,4.4,3.18,1.89,1082,0,NONE,0,0.0,0.052
FL000058,2025-04-06,Mizoram,Kolasib,24.1496,92.81,4.6,3.37,1.11,662,0,NONE,0,0.0,0.091
FL000059,2025-04-07,Mizoram,Lunglei,22.8155,92.7215,4.2,2.86,2.65,1029,0,NONE,0,0.0,0.036
FL000060,2025-04-07,Tripura,West Tripura,23.9777,91.333,3.7,6.12,1.31,20,0,NONE,0,0.0,0.137
FL000061,2025-04-07,Tripura,Sipahijala,23.7645,91.1931,7.0,3.03,2.63,84,0,NONE,0,0.0,0.16
FL000062,2025-04-07,Tripura,Dhalai,23.7321,91.866,1.5,3.7,1.49,114,0,NONE,0,0.0,0.118
FL000063,2025-04-07,Arunachal Pradesh,Tawang,27.539,91.9156,6.9,6.3,5.27,2949,0,NONE,0,0.0,0.318
FL000064,2025-04-07,Arunachal Pradesh,West Kameng,27.3861,92.5197,13.8,6.07,4.79,2151,0,NONE,0,0.0,0.148
FL000065,2025-04-07,Arunachal Pradesh,Papum Pare,26.9636,93.5667,7.6,2.99,1.12,276,0,NONE,0,0.0,0.121
FL000066,2025-04-07,Arunachal Pradesh,East Siang,28.1384,95.3415,5.0,3.75,0.22,149,0,NONE,0,0.0,0.215
FL000067,2025-04-07,Arunachal Pradesh,Lower Subansiri,27.6835,93.8873,9.9,4.32,3.09,1519,0,NONE,0,0.0,0.071
FL000068,2025-04-07,Assam,Kamrup Metropolitan,26.1693,91.6306,9.2,4.56,0.79,20,0,NONE,0,0.0,0.309
FL000069,2025-04-08,Assam,Kamrup Rural,26.3149,91.7037,5.2,3.57,0.49,20,0,NONE,0,0.0,0.047
FL000070,2025-04-08,Assam,Darrang,26.3769,91.9118,1.5,5.71,0.62,91,0,NONE,0,0.0,0.375
FL000071,2025-04-08,Assam,Sonitpur,26.776,92.8674,4.2,4.35,0.81,136,0,NONE,0,0.0,0.298
FL000072,2025-04-08,Assam,Dibrugarh,27.6157,95.0052,11.9,4.57,0.27,160,0,NONE,0,0.0,0.092
FL000073,2025-04-08,Assam,Cachar,24.9606,92.8636,0.2,6.4,0.51,20,0,NONE,0,0.0,0.022
FL000074,2025-04-08,Assam,Nagaon,26.4384,92.614,5.7,2.87,0.7,104,0,NONE,0,0.0,0.314
FL000075,2025-04-08,Meghalaya,East Khasi Hills,25.4404,91.8845,6.0,5.74,2.25,1455,0,NONE,0,0.0,0.274
FL000076,2025-04-08,Meghalaya,West Khasi Hills,25.4516,91.3486,0.7,4.42,1.98,1249,0,NONE,0,0.0,0.282
FL000077,2025-04-08,Meghalaya,Ri-Bhoi,25.8695,91.8136,2.2,5.76,1.43,498,0,NONE,0,0.0,0.298
FL000078,2025-04-08,Meghalaya,West Jaintia Hills,25.4924,92.1699,5.9,5.41,1.46,1377,0,NONE,0,0.0,0.047
FL000079,2025-04-09,Sikkim,East Sikkim,27.2235,88.7476,1.6,5.87,0.49,1612,0,NONE,0,0.0,0.149
FL000080,2025-04-09,Sikkim,North Sikkim,27.3615,88.579,3.9,5.47,0.25,2434,0,NONE,0,0.0,0.062
FL000081,2025-04-09,Sikkim,South Sikkim,27.2019,88.3534,2.8,3.29,0.27,1289,0,NONE,0,0.0,0.331
FL000082,2025-04-09,Nagaland,Kohima,25.5384,94.0894,13.8,3.47,1.9,1446,0,NONE,0,0.0,0.244
FL000083,2025-04-09,Nagaland,Dimapur,25.9726,93.8001,10.0,3.46,0.93,220,0,NONE,0,0.0,0.139
FL000084,2025-04-09,Nagaland,Mokokchung,26.4597,94.6462,11.4,3.81,2.4,1339,0,NONE,0,0.0,0.043
FL000085,2025-04-09,Manipur,Imphal West,24.8829,93.8769,5.1,6.25,0.46,764,0,NONE,0,0.0,0.132
FL000086,2025-04-09,Manipur,Bishnupur,24.6916,93.7808,8.5,4.96,0.66,734,0,NONE,0,0.0,0.137
FL000087,2025-04-09,Manipur,Senapati,25.3132,94.1308,12.0,6.12,1.41,1268,0,NONE,0,0.0,0.283
FL000088,2025-04-09,Mizoram,Aizawl,23.8272,92.6588,7.9,2.58,2.13,1096,0,NONE,0,0.0,0.25
FL000089,2025-04-10,Mizoram,Kolasib,24.2664,92.6695,3.7,4.71,1.28,606,0,NONE,0,0.0,0.339
FL000090,2025-04-10,Mizoram,Lunglei,22.9681,92.8779,2.7,3.53,2.31,1054,0,NONE,0,0.0,0.19
FL000091,2025-04-10,Tripura,West Tripura,23.8361,91.3267,4.1,3.78,1.57,20,0,NONE,0,0.0,0.063
FL000092,2025-04-10,Tripura,Sipahijala,23.5555,91.2551,3.9,4.07,2.57,75,0,NONE,0,0.0,0.277
FL000093,2025-04-10,Tripura,Dhalai,23.7735,91.8425,13.4,4.01,1.65,188,0,NONE,0,0.0,0.294
FL000094,2025-04-10,Arunachal Pradesh,Tawang,27.7019,91.8821,3.8,4.16,5.27,2931,0,NONE,0,0.0,0.222
FL000095,2025-04-10,Arunachal Pradesh,West Kameng,27.1877,92.4627,0.5,5.81,4.81,2140,0,NONE,0,0.0,0.298
FL000096,2025-04-10,Arunachal Pradesh,Papum Pare,27.216,93.7001,9.1,5.17,1.57,288,0,NONE,0,0.0,0.198
FL000097,2025-04-10,Arunachal Pradesh,East Siang,28.0714,95.1911,3.0,3.2,0.23,126,0,NONE,0,0.0,0.208
FL000098,2025-04-10,Arunachal Pradesh,Lower Subansiri,27.44,93.8194,4.9,4.8,2.94,1567,0,NONE,0,0.0,0.174
FL000099,2025-04-11,Assam,Kamrup Metropolitan,26.2795,91.8536,5.7,5.83,1.13,73,0,NONE,0,0.0,0.029
FL000100,2025-04-11,Assam,Kamrup Rural,26.163,91.6841,7.3,5.36,0.83,55,0,NONE,0,0.0,0.059
FL000101,2025-04-11,Assam,Darrang,26.4444,91.9588,9.7,3.96,0.23,23,0,NONE,0,0.0,0.031
FL000102,2025-04-11,Assam,Sonitpur,26.7171,92.788,11.8,5.43,0.3,48,0,NONE,0,0.0,0.249
FL000103,2025-04-11,Assam,Dibrugarh,27.4085,94.8435,4.7,3.63,0.2,88,0,NONE,0,0.0,0.133
FL000104,2025-04-11,Assam,Cachar,24.7285,92.7438,0.4,2.56,0.05,20,0,NONE,0,0.0,0.203
FL000105,2025-04-11,Assam,Nagaon,26.3175,92.6968,12.7,2.81,0.99,57,0,NONE,0,0.0,0.347
FL000106,2025-04-11,Meghalaya,East Khasi Hills,25.5456,91.9742,8.0,3.73,2.52,1519,0,NONE,0,0.0,0.11
FL000107,2025-04-11,Meghalaya,West Khasi Hills,25.5327,91.2531,4.6,5.05,2.04,1340,0,NONE,0,0.0,0.168
FL000108,2025-04-11,Meghalaya,Ri-Bhoi,26.006,92.016,8.0,6.25,1.73,543,0,NONE,0,0.0,0.292
FL000109,2025-04-12,Meghalaya,West Jaintia Hills,25.54,92.3193,10.6,6.47,1.13,1332,0,NONE,0,0.0,0.102
FL000110,2025-04-12,Sikkim,East Sikkim,27.1976,88.5573,11.8,6.05,0.32,1676,0,NONE,0,0.0,0.048
FL000111,2025-04-12,Sikkim,North Sikkim,27.6022,88.6759,12.0,5.17,0.64,2469,0,NONE,0,0.0,0.124
FL000112,2025-04-12,Sikkim,South Sikkim,27.1976,88.3989,5.7,5.05,0.24,1250,0,NONE,0,0.0,0.078
FL000113,2025-04-12,Nagaland,Kohima,25.6636,93.9737,9.5,3.97,1.85,1428,0,NONE,0,0.0,0.355
FL000114,2025-04-12,Nagaland,Dimapur,25.8581,93.8414,11.8,3.06,1.19,170,0,NONE,0,0.0,0.311
FL000115,2025-04-12,Nagaland,Mokokchung,26.2507,94.3946,5.9,3.52,1.88,1262,0,NONE,0,0.0,0.248
FL000116,2025-04-12,Manipur,Imphal West,24.9526,93.8541,12.8,6.5,0.67,733,0,NONE,0,0.0,0.334
FL000117,2025-04-12,Manipur,Bishnupur,24.7087,93.8994,2.2,3.98,0.45,735,0,NONE,0,0.0,0.309
FL000118,2025-04-12,Manipur,Senapati,25.1816,94.0021,9.4,6.07,1.29,1204,0,NONE,0,0.0,0.087
FL000119,2025-04-13,Mizoram,Aizawl,23.7869,92.7977,5.0,3.95,2.38,1091,0,NONE,0,0.0,0.341
FL000120,2025-04-13,Mizoram,Kolasib,24.2855,92.7633,4.8,4.22,1.02,570,0,NONE,0,0.0,0.214
FL000121,2025-04-13,Mizoram,Lunglei,22.7377,92.6836,3.8,2.75,2.49,1046,0,NONE,0,0.0,0.311
FL000122,2025-04-13,Tripura,West Tripura,23.9639,91.1963,2.1,5.77,1.36,50,0,NONE,0,0.0,0.343
FL000123,2025-04-13,Tripura,Sipahijala,23.5156,91.3937,7.0,5.7,3.07,80,0,NONE,0,0.0,0.134
FL000124,2025-04-13,Tripura,Dhalai,23.9389,91.8698,4.8,3.38,1.63,85,0,NONE,0,0.0,0.06
FL000125,2025-04-13,Arunachal Pradesh,Tawang,27.5473,91.8612,11.9,5.54,5.22,2883,0,NONE,0,0.0,0.102
FL000126,2025-04-13,Arunachal Pradesh,West Kameng,27.2616,92.396,4.6,3.62,4.79,2186,0,NONE,0,0.0,0.174
FL000127,2025-04-13,Arunachal Pradesh,Papum Pare,27.1626,93.5972,5.8,6.42,1.37,353,0,NONE,0,0.0,0.314
FL000128,2025-04-13,Arunachal Pradesh,East Siang,28.1008,95.4519,9.0,4.32,0.43,194,0,NONE,0,0.0,0.33
FL000129,2025-04-14,Arunachal Pradesh,Lower Subansiri,27.6193,93.7605,5.8,3.19,3.16,1609,0,NONE,0,0.0,0.023
FL000130,2025-04-14,Assam,Kamrup Metropolitan,26.0782,91.7214,0.4,3.54,0.95,91,0,NONE,0,0.0,0.204
FL000131,2025-04-14,Assam,Kamrup Rural,26.1487,91.4206,2.6,5.2,0.67,106,0,NONE,0,0.0,0.17
FL000132,2025-04-14,Assam,Darrang,26.4084,91.9585,9.6,2.8,0.51,27,0,NONE,0,0.0,0.1
FL000133,2025-04-14,Assam,Sonitpur,26.5667,92.6456,1.9,4.91,0.72,42,0,NONE,0,0.0,0.063
FL000134,2025-04-14,Assam,Dibrugarh,27.4694,94.9894,10.6,5.79,0.61,136,0,NONE,0,0.0,0.142
FL000135,2025-04-14,Assam,Cachar,24.8178,92.6341,4.6,4.55,0.4,20,0,NONE,0,0.0,0.359
FL000136,2025-04-14,Assam,Nagaon,26.2871,92.7085,12.3,3.19,0.67,64,0,NONE,0,0.0,0.136
FL000137,2025-04-14,Meghalaya,East Khasi Hills,25.7278,91.9084,2.0,6.44,2.13,1475,0,NONE,0,0.0,0.207
FL000138,2025-04-14,Meghalaya,West Khasi Hills,25.4354,91.1462,2.2,6.09,2.03,1244,0,NONE,0,0.0,0.273
FL000139,2025-04-15,Meghalaya,Ri-Bhoi,26.0353,91.937,11.5,2.96,1.56,514,0,NONE,0,0.0,0.151
FL000140,2025-04-15,Meghalaya,West Jaintia Hills,25.5174,92.343,10.6,3.7,1.49,1337,0,NONE,0,0.0,0.37
FL000141,2025-04-15,Sikkim,East Sikkim,27.4387,88.5454,3.1,3.34,0.05,1636,0,NONE,0,0.0,0.366
FL000142,2025-04-15,Sikkim,North Sikkim,27.5102,88.4823,10.9,3.84,0.5,2396,0,NONE,0,0.0,0.111
FL000143,2025-04-15,Sikkim,South Sikkim,27.0579,88.4605,12.6,3.35,0.16,1302,0,NONE,0,0.0,0.199
FL000144,2025-04-15,Nagaland,Kohima,25.6104,94.1022,5.2,6.01,1.58,1423,0,NONE,0,0.0,0.128
FL000145,2025-04-15,Nagaland,Dimapur,26.0391,93.7208,5.3,5.06,0.97,240,0,NONE,0,0.0,0.123
FL000146,2025-04-15,Nagaland,Mokokchung,26.3481,94.5759,5.2,5.8,2.22,1279,0,NONE,0,0.0,0.033
FL000147,2025-04-15,Manipur,Imphal West,24.7582,94.085,10.5,3.87,0.52,740,0,NONE,0,0.0,0.239
FL000148,2025-04-15,Manipur,Bishnupur,24.6612,93.8,1.8,5.36,0.34,809,0,NONE,0,0.0,0.201
FL000149,2025-04-16,Manipur,Senapati,25.2428,94.118,2.6,5.77,1.55,1244,0,NONE,0,0.0,0.039
FL000150,2025-04-16,Mizoram,Aizawl,23.76,92.7896,8.2,3.0,1.89,1167,0,NONE,0,0.0,0.12
FL000151,2025-04-16,Mizoram,Kolasib,24.2681,92.5771,6.7,6.44,1.05,572,0,NONE,0,0.0,0.347
FL000152,2025-04-16,Mizoram,Lunglei,22.8526,92.7968,10.9,5.17,2.4,1020,0,NONE,0,0.0,0.106
FL000153,2025-04-16,Tripura,West Tripura,23.8936,91.3477,3.5,4.19,1.1,33,0,NONE,0,0.0,0.072
FL000154,2025-04-16,Tripura,Sipahijala,23.5644,91.3994,8.4,5.49,3.16,47,0,NONE,0,0.0,0.196
FL000155,2025-04-16,Tripura,Dhalai,23.8275,91.8634,9.1,2.51,1.52,162,0,NONE,0,0.0,0.375
FL000156,2025-04-16,Arunachal Pradesh,Tawang,27.4788,91.7273,13.4,5.27,5.44,2941,0,NONE,0,0.0,0.107
FL000157,2025-04-16,Arunachal Pradesh,West Kameng,27.2853,92.3525,1.0,4.54,4.45,2155,0,NONE,0,0.0,0.262
FL000158,2025-04-16,Arunachal Pradesh,Papum Pare,27.0712,93.5483,11.8,5.84,1.0,329,0,NONE,0,0.0,0.294
FL000159,2025-04-17,Arunachal Pradesh,East Siang,27.928,95.3056,4.2,3.49,0.17,136,0,NONE,0,0.0,0.106
FL000160,2025-04-17,Arunachal Pradesh,Lower Subansiri,27.4687,93.8823,9.9,6.33,3.17,1610,0,NONE,0,0.0,0.282
FL000161,2025-04-17,Assam,Kamrup Metropolitan,26.2944,91.7879,13.9,4.53,1.05,29,0,NONE,0,0.0,0.152
FL000162,2025-04-17,Assam,Kamrup Rural,26.0876,91.5677,1.8,6.38,0.47,54,0,NONE,0,0.0,0.248
FL000163,2025-04-17,Assam,Darrang,26.4776,92.0714,9.1,4.32,0.36,54,0,NONE,0,0.0,0.248
FL000164,2025-04-17,Assam,Sonitpur,26.6063,92.7389,8.8,3.83,0.46,31,0,NONE,0,0.0,0.213
FL000165,2025-04-17,Assam,Dibrugarh,27.5309,94.8485,6.7,2.79,0.64,168,0,NONE,0,0.0,0.053
FL000166,2025-04-17,Assam,Cachar,24.6943,92.6553,4.3,5.46,0.58,20,0,NONE,0,0.0,0.321
FL000167,2025-04-17,Assam,Nagaon,26.3165,92.6884,9.2,3.53,0.8,20,0,NONE,0,0.0,0.135
FL000168,2025-04-17,Meghalaya,East Khasi Hills,25.5528,91.7996,2.8,2.67,2.27,1476,0,NONE,0,0.0,0.087
FL000169,2025-04-18,Meghalaya,West Khasi Hills,25.4926,91.1255,10.7,5.19,2.15,1254,0,NONE,0,0.0,0.035
FL000170,2025-04-18,Meghalaya,Ri-Bhoi,25.8814,91.9395,10.1,4.97,1.66,505,0,NONE,0,0.0,0.233
FL000171,2025-04-18,Meghalaya,West Jaintia Hills,25.5398,92.2629,11.3,4.51,1.21,1309,0,NONE,0,0.0,0.264
FL000172,2025-04-18,Sikkim,East Sikkim,27.2169,88.7542,6.9,5.44,0.47,1706,0,NONE,0,0.0,0.026
FL000173,2025-04-18,Sikkim,North Sikkim,27.5443,88.4462,0.9,2.57,0.38,2509,0,NONE,0,0.0,0.204
FL000174,2025-04-18,Sikkim,South Sikkim,27.102,88.4504,1.0,5.3,0.51,1300,0,NONE,0,0.0,0.102
FL000175,2025-04-18,Nagaland,Kohima,25.6402,94.2352,6.8,4.64,1.64,1445,0,NONE,0,0.0,0.252
FL000176,2025-04-18,Nagaland,Dimapur,25.7777,93.8093,2.7,6.37,1.26,244,0,NONE,0,0.0,0.083
FL000177,2025-04-18,Nagaland,Mokokchung,26.3273,94.6162,7.6,5.18,2.39,1296,0,NONE,0,0.0,0.269
FL000178,2025-04-18,Manipur,Imphal West,24.841,93.9848,11.2,2.71,0.6,835,0,NONE,0,0.0,0.159
FL000179,2025-04-19,Manipur,Bishnupur,24.5859,93.7801,11.5,3.88,0.66,779,0,NONE,0,0.0,0.357
FL000180,2025-04-19,Manipur,Senapati,25.3709,94.1542,4.5,6.24,1.3,1220,0,NONE,0,0.0,0.07
FL000181,2025-04-19,Mizoram,Aizawl,23.8098,92.5807,10.0,5.58,2.34,1165,0,NONE,0,0.0,0.143
FL000182,2025-04-19,Mizoram,Kolasib,24.1844,92.8265,2.2,4.17,1.59,651,0,NONE,0,0.0,0.061
FL000183,2025-04-19,Mizoram,Lunglei,22.8786,92.6011,9.6,3.91,2.47,1024,0,NONE,0,0.0,0.353
FL000184,2025-04-19,Tripura,West Tripura,23.7116,91.3903,5.5,3.02,1.25,20,0,NONE,0,0.0,0.336
FL000185,2025-04-19,Tripura,Sipahijala,23.7017,91.285,8.4,4.11,2.6,55,0,NONE,0,0.0,0.113
FL000186,2025-04-19,Tripura,Dhalai,23.9345,91.7795,8.5,2.59,1.77,159,0,NONE,0,0.0,0.258
FL000187,2025-04-19,Arunachal Pradesh,Tawang,27.6916,91.9651,11.8,5.01,5.57,2949,0,NONE,0,0.0,0.314
FL000188,2025-04-19,Arunachal Pradesh,West Kameng,27.3025,92.5321,2.4,4.22,4.27,2202,0,NONE,0,0.0,0.22
FL000189,2025-04-20,Arunachal Pradesh,Papum Pare,26.9709,93.6559,9.7,2.88,1.1,377,0,NONE,0,0.0,0.211
FL000190,2025-04-20,Arunachal Pradesh,East Siang,27.9431,95.4695,11.4,6.29,0.72,192,0,NONE,0,0.0,0.107
FL000191,2025-04-20,Arunachal Pradesh,Lower Subansiri,27.5331,93.8882,11.2,5.39,2.76,1615,0,NONE,0,0.0,0.054
FL000192,2025-04-20,Assam,Kamrup Metropolitan,26.0113,91.6937,11.2,5.59,0.9,50,0,NONE,0,0.0,0.343
FL000193,2025-04-20,Assam,Kamrup Rural,26.2048,91.6498,6.7,4.32,0.75,20,0,NONE,0,0.0,0.344
FL000194,2025-04-20,Assam,Darrang,26.4168,92.0859,12.1,5.06,0.14,55,0,NONE,0,0.0,0.248
FL000195,2025-04-20,Assam,Sonitpur,26.6221,92.7188,0.9,3.12,0.83,50,0,NONE,0,0.0,0.142
FL000196,2025-04-20,Assam,Dibrugarh,27.4624,94.8483,12.3,3.45,0.44,117,0,NONE,0,0.0,0.146
FL000197,2025-04-20,Assam,Cachar,24.787,92.8052,10.6,2.5,0.4,46,0,NONE,0,0.0,0.281
FL000198,2025-04-20,Assam,Nagaon,26.3323,92.6246,7.5,2.98,0.52,53,0,NONE,0,0.0,0.343
FL000199,2025-04-21,Meghalaya,East Khasi Hills,25.5432,91.851,7.2,4.64,2.14,1467,0,NONE,0,0.0,0.339
FL000200,2025-04-21,Meghalaya,West Khasi Hills,25.6534,91.3075,11.6,4.01,2.11,1255,0,NONE,0,0.0,0.301
FL000201,2025-04-21,Meghalaya,Ri-Bhoi,25.9835,92.0221,11.7,3.41,1.57,606,0,NONE,0,0.0,0.251
FL000202,2025-04-21,Meghalaya,West Jaintia Hills,25.5712,92.1359,2.3,5.56,1.37,1372,0,NONE,0,0.0,0.05
FL000203,2025-04-21,Sikkim,East Sikkim,27.2546,88.5135,2.2,5.63,0.32,1622,0,NONE,0,0.0,0.078
FL000204,2025-04-21,Sikkim,North Sikkim,27.5478,88.6515,12.0,3.59,0.46,2470,0,NONE,0,0.0,0.343
FL000205,2025-04-21,Sikkim,South Sikkim,27.0318,88.4366,0.6,5.84,0.63,1244,0,NONE,0,0.0,0.238
FL000206,2025-04-21,Nagaland,Kohima,25.5521,94.0471,3.6,3.01,1.68,1475,0,NONE,0,0.0,0.023
FL000207,2025-04-21,Nagaland,Dimapur,25.9928,93.8404,8.5,2.57,1.24,181,0,NONE,0,0.0,0.057
FL000208,2025-04-21,Nagaland,Mokokchung,26.4241,94.4471,1.7,3.78,2.48,1365,0,NONE,0,0.0,0.259
FL000209,2025-04-22,Manipur,Imphal West,24.7555,94.0479,4.0,5.19,0.88,827,0,NONE,0,0.0,0.022
FL000210,2025-04-22,Manipur,Bishnupur,24.5246,93.9045,1.7,2.74,0.49,820,0,NONE,0,0.0,0.078
FL000211,2025-04-22,Manipur,Senapati,25.2292,94.1137,1.4,6.46,1.66,1261,0,NONE,0,0.0,0.218
