landslide_id,date,state,district,latitude,longitude,rainfall_mm,elevation_m,slope_percent,soil_type,landslide_occurred,severity,road_blocked,duration_hours
LS000042,2025-04-05,Assam,Cachar,24.7851,92.8874,3.9,20,0.4,Barak_Valley_Alluvium,0,NONE,0,0.0
LS000043,2025-04-05,Assam,Nagaon,26.2373,92.589,3.5,63,0.4,Alluvial_Clay,0,NONE,0,0.0
LS000044,2025-04-05,Meghalaya,East Khasi Hills,25.5617,92.0017,9.1,1500,28.5,Sandstone_Silt,0,NONE,0,0.0
LS000045,2025-04-05,Meghalaya,West Khasi Hills,25.5222,91.1144,4.0,1231,30.1,Red_Loam,0,NONE,0,0.0
LS000046,2025-04-05,Meghalaya,Ri-Bhoi,25.7999,91.8757,11.3,517,18.3,Laterite_Clay,0,NONE,0,0.0
LS000047,2025-04-05,Meghalaya,West Jaintia Hills,25.3494,92.0506,4.1,1319,24.8,Limestone_Clay,0,NONE,0,0.0
LS000048,2025-04-05,Sikkim,East Sikkim,27.3254,88.5834,7.9,1683,44.5,Loose_Phyllite,0,NONE,0,0.0
LS000049,2025-04-06,Sikkim,North Sikkim,27.5655,88.4464,3.8,2427,47.1,Schist_Shale,0,NONE,0,0.0
LS000050,2025-04-06,Sikkim,South Sikkim,27.2407,88.2183,12.2,1280,34.0,Loose_Phyllite,0,NONE,0,0.0
LS000051,2025-04-06,Nagaland,Kohima,25.676,94.2144,1.1,1400,33.6,Disang_Shale,0,NONE,0,0.0
LS000052,2025-04-06,Nagaland,Dimapur,26.0122,93.5981,10.8,143,4.7,Alluvial_Sandy_Loam,0,NONE,0,0.0
LS000053,2025-04-06,Nagaland,Mokokchung,26.211,94.6371,8.2,1291,31.4,Disang_Shale,0,NONE,0,0.0
LS000054,2025-04-06,Manipur,Imphal West,24.6916,93.984,1.8,797,2.3,Lacustrine_Alluvium,0,NONE,0,0.0
LS000055,2025-04-06,Manipur,Bishnupur,24.5437,93.8294,5.6,740,2.3,Lacustrine_Alluvium,0,NONE,0,0.0
LS000056,2025-04-06,Manipur,Senapati,25.3037,93.9972,11.3,1308,30.8,Clayey_Loam,0,NONE,0,0.0
LS000057,2025-04-06,Mizoram,Aizawl,23.7146,92.8671,4.4,1082,30.9,Siltstone_Shale,0,NONE,0,0.0
LS000058,2025-04-06,Mizoram,Kolasib,24.1496,92.81,4.6,662,22.3,Red_Loam,0,NONE,0,0.0
LS000059,2025-04-07,Mizoram,Lunglei,22.8155,92.7215,4.2,1029,32.5,Siltstone_Shale,0,NONE,0,0.0
LS000060,2025-04-07,Tripura,West Tripura,23.9777,91.333,3.7,20,2.9,Sandy_Clay,0,NONE,0,0.0
LS000061,2025-04-07,Tripura,Sipahijala,23.7645,91.1931,7.0,84,1.2,Sandy_Clay,0,NONE,0,0.0
LS000062,2025-04-07,Tripura,Dhalai,23.7321,91.866,1.5,114,10.9,Red_Laterite,0,NONE,0,0.0
LS000063,2025-04-07,Arunachal Pradesh,Tawang,27.539,91.9156,6.9,2949,43.3,Gneissic_Debris,0,NONE,0,0.0
LS000064,2025-04-07,Arunachal Pradesh,West Kameng,27.3861,92.5197,13.8,2151,38.7,Schist_Shale,0,NONE,0,0.0
LS000065,2025-04-07,Arunachal Pradesh,Papum Pare,26.9636,93.5667,7.6,276,19.2,Colluvial_Soil,0,NONE,0,0.0
LS000066,2025-04-07,Arunachal Pradesh,East Siang,28.1384,95.3415,5.0,149,9.5,Alluvial_Gravel,0,NONE,0,0.0
LS000067,2025-04-07,Arunachal Pradesh,Lower Subansiri,27.6835,93.8873,9.9,1519,32.6,Schist_Shale,0,NONE,0,0.0
LS000068,2025-04-07,Assam,Kamrup Metropolitan,26.1693,91.6306,9.2,20,0.4,Alluvial_Clay,0,NONE,0,0.0
LS000069,2025-04-08,Assam,Kamrup Rural,26.3149,91.7037,5.2,20,2.9,Alluvial_Silt,0,NONE,0,0.0
LS000070,2025-04-08,Assam,Darrang,26.3769,91.9118,1.5,91,1.4,Brahmaputra_Sand_Silt,0,NONE,0,0.0
LS000071,2025-04-08,Assam,Sonitpur,26.776,92.8674,4.2,136,4.2,Alluvial_Silt,0,NONE,0,0.0
LS000072,2025-04-08,Assam,Dibrugarh,27.6157,95.0052,11.9,160,0.4,Alluvial_Clay,0,NONE,0,0.0
LS000073,2025-04-08,Assam,Cachar,24.9606,92.8636,0.2,20,3.3,Barak_Valley_Alluvium,0,NONE,0,0.0
LS000074,2025-04-08,Assam,Nagaon,26.4384,92.614,5.7,104,2.0,Alluvial_Clay,0,NONE,0,0.0
LS000075,2025-04-08,Meghalaya,East Khasi Hills,25.4404,91.8845,6.0,1455,32.1,Sandstone_Silt,0,NONE,0,0.0
LS000076,2025-04-08,Meghalaya,West Khasi Hills,25.4516,91.3486,0.7,1249,26.6,Red_Loam,0,NONE,0,0.0
LS000077,2025-04-08,Meghalaya,Ri-Bhoi,25.8695,91.8136,2.2,498,18.8,Laterite_Clay,0,NONE,0,0.0
LS000078,2025-04-08,Meghalaya,West Jaintia Hills,25.4924,92.1699,5.9,1377,26.2,Limestone_Clay,0,NONE,0,0.0
LS000079,2025-04-09,Sikkim,East Sikkim,27.2235,88.7476,1.6,1612,42.4,Loose_Phyllite,0,NONE,0,0.0
LS000080,2025-04-09,Sikkim,North Sikkim,27.3615,88.579,3.9,2434,49.6,Schist_Shale,0,NONE,0,0.0
LS000081,2025-04-09,Sikkim,South Sikkim,27.2019,88.3534,2.8,1289,38.2,Loose_Phyllite,0,NONE,0,0.0
LS000082,2025-04-09,Nagaland,Kohima,25.5384,94.0894,13.8,1446,37.9,Disang_Shale,0,NONE,0,0.0
LS000083,2025-04-09,Nagaland,Dimapur,25.9726,93.8001,10.0,220,2.3,Alluvial_Sandy_Loam,0,NONE,0,0.0
LS000084,2025-04-09,Nagaland,Mokokchung,26.4597,94.6462,11.4,1339,30.1,Disang_Shale,0,NONE,0,0.0
LS000085,2025-04-09,Manipur,Imphal West,24.8829,93.8769,5.1,764,3.0,Lacustrine_Alluvium,0,NONE,0,0.0
LS000086,2025-04-09,Manipur,Bishnupur,24.6916,93.7808,8.5,734,3.1,Lacustrine_Alluvium,0,NONE,0,0.0
LS000087,2025-04-09,Manipur,Senapati,25.3132,94.1308,12.0,1268,29.8,Clayey_Loam,0,NONE,0,0.0
LS000088,2025-04-09,Mizoram,Aizawl,23.8272,92.6588,7.9,1096,32.6,Siltstone_Shale,0,NONE,0,0.0
LS000089,2025-04-10,Mizoram,Kolasib,24.2664,92.6695,3.7,606,25.4,Red_Loam,0,NONE,0,0.0
LS000090,2025-04-10,Mizoram,Lunglei,22.9681,92.8779,2.7,1054,29.8,Siltstone_Shale,0,NONE,0,0.0
LS000091,2025-04-10,Tripura,West Tripura,23.8361,91.3267,4.1,20,0.4,Sandy_Clay,0,NONE,0,0.0
LS000092,2025-04-10,Tripura,Sipahijala,23.5555,91.2551,3.9,75,1.5,Sandy_Clay,0,NONE,0,0.0
LS000093,2025-04-10,Tripura,Dhalai,23.7735,91.8425,13.4,188,13.3,Red_Laterite,0,NONE,0,0.0
LS000094,2025-04-10,Arunachal Pradesh,Tawang,27.7019,91.8821,3.8,2931,45.5,Gneissic_Debris,0,NONE,0,0.0
LS000095,2025-04-10,Arunachal Pradesh,West Kameng,27.1877,92.4627,0.5,2140,40.0,Schist_Shale,0,NONE,0,0.0
LS000096,2025-04-10,Arunachal Pradesh,Papum Pare,27.216,93.7001,9.1,288,16.9,Colluvial_Soil,0,NONE,0,0.0
LS000097,2025-04-10,Arunachal Pradesh,East Siang,28.0714,95.1911,3.0,126,11.3,Alluvial_Gravel,0,NONE,0,0.0
LS000098,2025-04-10,Arunachal Pradesh,Lower Subansiri,27.44,93.8194,4.9,1567,34.8,Schist_Shale,0,NONE,0,0.0
LS000099,2025-04-11,Assam,Kamrup Metropolitan,26.2795,91.8536,5.7,73,2.8,Alluvial_Clay,0,NONE,0,0.0
LS000100,2025-04-11,Assam,Kamrup Rural,26.163,91.6841,7.3,55,2.9,Alluvial_Silt,0,NONE,0,0.0
LS000101,2025-04-11,Assam,Darrang,26.4444,91.9588,9.7,23,2.8,Brahmaputra_Sand_Silt,0,NONE,0,0.0
LS000102,2025-04-11,Assam,Sonitpur,26.7171,92.788,11.8,48,1.0,Alluvial_Silt,0,NONE,0,0.0
LS000103,2025-04-11,Assam,Dibrugarh,27.4085,94.8435,4.7,88,2.8,Alluvial_Clay,0,NONE,0,0.0
LS000104,2025-04-11,Assam,Cachar,24.7285,92.7438,0.4,20,2.8,Barak_Valley_Alluvium,0,NONE,0,0.0
LS000105,2025-04-11,Assam,Nagaon,26.3175,92.6968,12.7,57,0.4,Alluvial_Clay,0,NONE,0,0.0
LS000106,2025-04-11,Meghalaya,East Khasi Hills,25.5456,91.9742,8.0,1519,28.1,Sandstone_Silt,0,NONE,0,0.0
LS000107,2025-04-11,Meghalaya,West Khasi Hills,25.5327,91.2531,4.6,1340,27.3,Red_Loam,0,NONE,0,0.0
LS000108,2025-04-11,Meghalaya,Ri-Bhoi,26.006,92.016,8.0,543,16.7,Laterite_Clay,0,NONE,0,0.0
LS000109,2025-04-12,Meghalaya,West Jaintia Hills,25.54,92.3193,10.6,1332,24.6,Limestone_Clay,0,NONE,0,0.0
LS000110,2025-04-12,Sikkim,East Sikkim,27.1976,88.5573,11.8,1676,43.5,Loose_Phyllite,0,NONE,0,0.0
LS000111,2025-04-12,Sikkim,North Sikkim,27.6022,88.6759,12.0,2469,48.7,Schist_Shale,0,NONE,0,0.0
LS000112,2025-04-12,Sikkim,South Sikkim,27.1976,88.3989,5.7,1250,36.9,Loose_Phyllite,0,NONE,0,0.0
LS000113,2025-04-12,Nagaland,Kohima,25.6636,93.9737,9.5,1428,34.9,Disang_Shale,0,NONE,0,0.0
LS000114,2025-04-12,Nagaland,Dimapur,25.8581,93.8414,11.8,170,5.1,Alluvial_Sandy_Loam,0,NONE,0,0.0
LS000115,2025-04-12,Nagaland,Mokokchung,26.2507,94.3946,5.9,1262,32.2,Disang_Shale,0,NONE,0,0.0
LS000116,2025-04-12,Manipur,Imphal West,24.9526,93.8541,12.8,733,3.6,Lacustrine_Alluvium,0,NONE,0,0.0
LS000117,2025-04-12,Manipur,Bishnupur,24.7087,93.8994,2.2,735,5.2,Lacustrine_Alluvium,0,NONE,0,0.0
LS000118,2025-04-12,Manipur,Senapati,25.1816,94.0021,9.4,1204,29.8,Clayey_Loam,0,NONE,0,0.0
LS000119,2025-04-13,Mizoram,Aizawl,23.7869,92.7977,5.0,1091,33.5,Siltstone_Shale,0,NONE,0,0.0
LS000120,2025-04-13,Mizoram,Kolasib,24.2855,92.7633,4.8,570,26.8,Red_Loam,0,NONE,0,0.0
LS000121,2025-04-13,Mizoram,Lunglei,22.7377,92.6836,3.8,1046,33.5,Siltstone_Shale,0,NONE,0,0.0
LS000122,2025-04-13,Tripura,West Tripura,23.9639,91.1963,2.1,50,3.1,Sandy_Clay,0,NONE,0,0.0
LS000123,2025-04-13,Tripura,Sipahijala,23.5156,91.3937,7.0,80,3.9,Sandy_Clay,0,NONE,0,0.0
LS000124,2025-04-13,Tripura,Dhalai,23.9389,91.8698,4.8,85,11.2,Red_Laterite,0,NONE,0,0.0
LS000125,2025-04-13,Arunachal Pradesh,Tawang,27.5473,91.8612,11.9,2883,42.1,Gneissic_Debris,0,NONE,0,0.0
LS000126,2025-04-13,Arunachal Pradesh,West Kameng,27.2616,92.396,4.6,2186,38.7,Schist_Shale,0,NONE,0,0.0
LS000127,2025-04-13,Arunachal Pradesh,Papum Pare,27.1626,93.5972,5.8,353,18.6,Colluvial_Soil,0,NONE,0,0.0
LS000128,2025-04-13,Arunachal Pradesh,East Siang,28.1008,95.4519,9.0,194,9.1,Alluvial_Gravel,0,NONE,0,0.0
LS000129,2025-04-14,Arunachal Pradesh,Lower Subansiri,27.6193,93.7605,5.8,1609,31.1,Schist_Shale,0,NONE,0,0.0
LS000130,2025-04-14,Assam,Kamrup Metropolitan,26.0782,91.7214,0.4,91,1.0,Alluvial_Clay,0,NONE,0,0.0
LS000131,2025-04-14,Assam,Kamrup Rural,26.1487,91.4206,2.6,106,0.4,Alluvial_Silt,0,NONE,0,0.0
LS000132,2025-04-14,Assam,Darrang,26.4084,91.9585,9.6,27,3.0,Brahmaputra_Sand_Silt,0,NONE,0,0.0
LS000133,2025-04-14,Assam,Sonitpur,26.5667,92.6456,1.9,42,0.4,Alluvial_Silt,0,NONE,0,0.0
LS000134,2025-04-14,Assam,Dibrugarh,27.4694,94.9894,10.6,136,0.7,Alluvial_Clay,0,NONE,0,0.0
LS000135,2025-04-14,Assam,Cachar,24.8178,92.6341,4.6,20,0.4,Barak_Valley_Alluvium,0,NONE,0,0.0
LS000136,2025-04-14,Assam,Nagaon,26.2871,92.7085,12.3,64,1.3,Alluvial_Clay,0,NONE,0,0.0
LS000137,2025-04-14,Meghalaya,East Khasi Hills,25.7278,91.9084,2.0,1475,31.5,Sandstone_Silt,0,NONE,0,0.0
LS000138,2025-04-14,Meghalaya,West Khasi Hills,25.4354,91.1462,2.2,1244,27.1,Red_Loam,0,NONE,0,0.0
LS000139,2025-04-15,Meghalaya,Ri-Bhoi,26.0353,91.937,11.5,514,15.1,Laterite_Clay,0,NONE,0,0.0
LS000140,2025-04-15,Meghalaya,West Jaintia Hills,25.5174,92.343,10.6,1337,26.5,Limestone_Clay,0,NONE,0,0.0
LS000141,2025-04-15,Sikkim,East Sikkim,27.4387,88.5454,3.1,1636,40.4,Loose_Phyllite,0,NONE,0,0.0
LS000142,2025-04-15,Sikkim,North Sikkim,27.5102,88.4823,10.9,2396,48.8,Schist_Shale,0,NONE,0,0.0
LS000143,2025-04-15,Sikkim,South Sikkim,27.0579,88.4605,12.6,1302,34.2,Loose_Phyllite,0,NONE,0,0.0
LS000144,2025-04-15,Nagaland,Kohima,25.6104,94.1022,5.2,1423,34.2,Disang_Shale,0,NONE,0,0.0
LS000145,2025-04-15,Nagaland,Dimapur,26.0391,93.7208,5.3,240,1.6,Alluvial_Sandy_Loam,0,NONE,0,0.0
LS000146,2025-04-15,Nagaland,Mokokchung,26.3481,94.5759,5.2,1279,29.2,Disang_Shale,0,NONE,0,0.0
LS000147,2025-04-15,Manipur,Imphal West,24.7582,94.085,10.5,740,2.5,Lacustrine_Alluvium,0,NONE,0,0.0
LS000148,2025-04-15,Manipur,Bishnupur,24.6612,93.8,1.8,809,3.6,Lacustrine_Alluvium,0,NONE,0,0.0
LS000149,2025-04-16,Manipur,Senapati,25.2428,94.118,2.6,1244,28.5,Clayey_Loam,0,NONE,0,0.0
LS000150,2025-04-16,Mizoram,Aizawl,23.76,92.7896,8.2,1167,31.5,Siltstone_Shale,0,NONE,0,0.0
LS000151,2025-04-16,Mizoram,Kolasib,24.2681,92.5771,6.7,572,24.8,Red_Loam,0,NONE,0,0.0
LS000152,2025-04-16,Mizoram,Lunglei,22.8526,92.7968,10.9,1020,30.5,Siltstone_Shale,0,NONE,0,0.0
LS000153,2025-04-16,Tripura,West Tripura,23.8936,91.3477,3.5,33,0.4,Sandy_Clay,0,NONE,0,0.0
LS000154,2025-04-16,Tripura,Sipahijala,23.5644,91.3994,8.4,47,3.8,Sandy_Clay,0,NONE,0,0.0
LS000155,2025-04-16,Tripura,Dhalai,23.8275,91.8634,9.1,162,10.2,Red_Laterite,0,NONE,0,0.0
LS000156,2025-04-16,Arunachal Pradesh,Tawang,27.4788,91.7273,13.4,2941,43.5,Gneissic_Debris,0,NONE,0,0.0
LS000157,2025-04-16,Arunachal Pradesh,West Kameng,27.2853,92.3525,1.0,2155,37.8,Schist_Shale,0,NONE,0,0.0
LS000158,2025-04-16,Arunachal Pradesh,Papum Pare,27.0712,93.5483,11.8,329,18.5,Colluvial_Soil,0,NONE,0,0.0
LS000159,2025-04-17,Arunachal Pradesh,East Siang,27.928,95.3056,4.2,136,9.7,Alluvial_Gravel,0,NONE,0,0.0
LS000160,2025-04-17,Arunachal Pradesh,Lower Subansiri,27.4687,93.8823,9.9,1610,32.8,Schist_Shale,0,NONE,0,0.0
LS000161,2025-04-17,Assam,Kamrup Metropolitan,26.2944,91.7879,13.9,29,1.6,Alluvial_Clay,0,NONE,0,0.0
LS000162,2025-04-17,Assam,Kamrup Rural,26.0876,91.5677,1.8,54,3.0,Alluvial_Silt,0,NONE,0,0.0
LS000163,2025-04-17,Assam,Darrang,26.4776,92.0714,9.1,54,3.4,Brahmaputra_Sand_Silt,0,NONE,0,0.0
LS000164,2025-04-17,Assam,Sonitpur,26.6063,92.7389,8.8,31,3.9,Alluvial_Silt,0,NONE,0,0.0
LS000165,2025-04-17,Assam,Dibrugarh,27.5309,94.8485,6.7,168,0.4,Alluvial_Clay,0,NONE,0,0.0
LS000166,2025-04-17,Assam,Cachar,24.6943,92.6553,4.3,20,0.9,Barak_Valley_Alluvium,0,NONE,0,0.0
LS000167,2025-04-17,Assam,Nagaon,26.3165,92.6884,9.2,20,1.8,Alluvial_Clay,0,NONE,0,0.0
LS000168,2025-04-17,Meghalaya,East Khasi Hills,25.5528,91.7996,2.8,1476,31.1,Sandstone_Silt,0,NONE,0,0.0
LS000169,2025-04-18,Meghalaya,West Khasi Hills,25.4926,91.1255,10.7,1254,28.2,Red_Loam,0,NONE,0,0.0
LS000170,2025-04-18,Meghalaya,Ri-Bhoi,25.8814,91.9395,10.1,505,14.1,Laterite_Clay,0,NONE,0,0.0
LS000171,2025-04-18,Meghalaya,West Jaintia Hills,25.5398,92.2629,11.3,1309,26.3,Limestone_Clay,0,NONE,0,0.0
LS000172,2025-04-18,Sikkim,East Sikkim,27.2169,88.7542,6.9,1706,40.1,Loose_Phyllite,0,NONE,0,0.0
LS000173,2025-04-18,Sikkim,North Sikkim,27.5443,88.4462,0.9,2509,49.6,Schist_Shale,0,NONE,0,0.0
LS000174,2025-04-18,Sikkim,South Sikkim,27.102,88.4504,1.0,1300,34.9,Loose_Phyllite,0,NONE,0,0.0
LS000175,2025-04-18,Nagaland,Kohima,25.6402,94.2352,6.8,1445,37.0,Disang_Shale,0,NONE,0,0.0
LS000176,2025-04-18,Nagaland,Dimapur,25.7777,93.8093,2.7,244,3.4,Alluvial_Sandy_Loam,0,NONE,0,0.0
LS000177,2025-04-18,Nagaland,Mokokchung,26.3273,94.6162,7.6,1296,32.1,Disang_Shale,0,NONE,0,0.0
LS000178,2025-04-18,Manipur,Imphal West,24.841,93.9848,11.2,835,0.4,Lacustrine_Alluvium,0,NONE,0,0.0
LS000179,2025-04-19,Manipur,Bishnupur,24.5859,93.7801,11.5,779,2.9,Lacustrine_Alluvium,0,NONE,0,0.0
LS000180,2025-04-19,Manipur,Senapati,25.3709,94.1542,4.5,1220,29.9,Clayey_Loam,0,NONE,0,0.0
LS000181,2025-04-19,Mizoram,Aizawl,23.8098,92.5807,10.0,1165,32.9,Siltstone_Shale,0,NONE,0,0.0
LS000182,2025-04-19,Mizoram,Kolasib,24.1844,92.8265,2.2,651,26.1,Red_Loam,0,NONE,0,0.0
LS000183,2025-04-19,Mizoram,Lunglei,22.8786,92.6011,9.6,1024,33.8,Siltstone_Shale,0,NONE,0,0.0
LS000184,2025-04-19,Tripura,West Tripura,23.7116,91.3903,5.5,20,2.2,Sandy_Clay,0,NONE,0,0.0
LS000185,2025-04-19,Tripura,Sipahijala,23.7017,91.285,8.4,55,5.3,Sandy_Clay,0,NONE,0,0.0
LS000186,2025-04-19,Tripura,Dhalai,23.9345,91.7795,8.5,159,13.0,Red_Laterite,0,NONE,0,0.0
LS000187,2025-04-19,Arunachal Pradesh,Tawang,27.6916,91.9651,11.8,2949,44.7,Gneissic_Debris,0,NONE,0,0.0
LS000188,2025-04-19,Arunachal Pradesh,West Kameng,27.3025,92.5321,2.4,2202,39.9,Schist_Shale,0,NONE,0,0.0
LS000189,2025-04-20,Arunachal Pradesh,Papum Pare,26.9709,93.6559,9.7,377,17.4,Colluvial_Soil,0,NONE,0,0.0
LS000190,2025-04-20,Arunachal Pradesh,East Siang,27.9431,95.4695,11.4,192,9.9,Alluvial_Gravel,0,NONE,0,0.0
LS000191,2025-04-20,Arunachal Pradesh,Lower Subansiri,27.5331,93.8882,11.2,1615,30.0,Schist_Shale,0,NONE,0,0.0
LS000192,2025-04-20,Assam,Kamrup Metropolitan,26.0113,91.6937,11.2,50,0.4,Alluvial_Clay,0,NONE,0,0.0
LS000193,2025-04-20,Assam,Kamrup Rural,26.2048,91.6498,6.7,20,0.4,Alluvial_Silt,0,NONE,0,0.0
LS000194,2025-04-20,Assam,Darrang,26.4168,92.0859,12.1,55,3.2,Brahmaputra_Sand_Silt,0,NONE,0,0.0
LS000195,2025-04-20,Assam,Sonitpur,26.6221,92.7188,0.9,50,2.9,Alluvial_Silt,0,NONE,0,0.0
LS000196,2025-04-20,Assam,Dibrugarh,27.4624,94.8483,12.3,117,0.4,Alluvial_Clay,0,NONE,0,0.0
LS000197,2025-04-20,Assam,Cachar,24.787,92.8052,10.6,46,4.1,Barak_Valley_Alluvium,0,NONE,0,0.0
LS000198,2025-04-20,Assam,Nagaon,26.3323,92.6246,7.5,53,2.8,Alluvial_Clay,0,NONE,0,0.0
LS000199,2025-04-21,Meghalaya,East Khasi Hills,25.5432,91.851,7.2,1467,33.0,Sandstone_Silt,0,NONE,0,0.0
LS000200,2025-04-21,Meghalaya,West Khasi Hills,25.6534,91.3075,11.6,1255,25.5,Red_Loam,0,NONE,0,0.0
LS000201,2025-04-21,Meghalaya,Ri-Bhoi,25.9835,92.0221,11.7,606,17.0,Laterite_Clay,0,NONE,0,0.0
LS000202,2025-04-21,Meghalaya,West Jaintia Hills,25.5712,92.1359,2.3,1372,24.7,Limestone_Clay,0,NONE,0,0.0
LS000203,2025-04-21,Sikkim,East Sikkim,27.2546,88.5135,2.2,1622,42.9,Loose_Phyllite,0,NONE,0,0.0
LS000204,2025-04-21,Sikkim,North Sikkim,27.5478,88.6515,12.0,2470,46.5,Schist_Shale,0,NONE,0,0.0
LS000205,2025-04-21,Sikkim,South Sikkim,27.0318,88.4366,0.6,1244,36.6,Loose_Phyllite,0,NONE,0,0.0
