travel_id,road_id,timestamp,state,district,distance_km,speed_limit_kmph,average_speed_kmph,traffic_level,weather_condition,road_condition,travel_time_minutes,delay_minutes
T000016,NH-06,2026-06-18 06:30:00,Meghalaya,West Jaintia Hills,11.5,45,39.6,MODERATE,LIGHT_RAIN,FAIR,17.4,2.1
T000017,NH-10,2026-06-18 06:32:00,Sikkim,East Sikkim,6.7,35,14.7,HIGH,MODERATE_RAIN,POOR,27.3,15.8
T000018,NH-310,2026-06-18 06:34:00,Sikkim,North Sikkim,17.2,30,4.0,STANDSTILL,TORRENTIAL_RAIN,POOR,258.0,223.6
T000019,NH-510,2026-06-18 06:36:00,Sikkim,South Sikkim,12.5,40,26.8,MODERATE,CLEAR,POOR,28.0,9.2
T000020,NH-29,2026-06-18 06:38:00,Nagaland,Kohima,20.6,40,4.0,STANDSTILL,TORRENTIAL_RAIN,POOR,309.0,278.1
T000021,NH-29,2026-06-18 06:40:00,Nagaland,Dimapur,10.6,65,65.0,LOW,CLEAR,GOOD,9.8,0.0
T000022,NH-02,2026-06-18 06:42:00,Nagaland,Mokokchung,9.5,40,22.0,MODERATE,LIGHT_RAIN,POOR,25.9,11.6
T000023,NH-02,2026-06-18 06:44:00,Manipur,Imphal West,9.2,60,60.0,LOW,CLEAR,GOOD,9.2,0.0
T000024,NH-02,2026-06-18 06:46:00,Manipur,Bishnupur,17.4,55,55.0,LOW,CLEAR,GOOD,19.0,0.0
T000025,NH-02,2026-06-18 06:48:00,Manipur,Senapati,18.2,45,24.8,MODERATE,LIGHT_RAIN,POOR,44.0,19.7
T000026,NH-54,2026-06-18 06:50:00,Mizoram,Aizawl,13.4,40,26.8,MODERATE,CLEAR,POOR,30.0,9.9
T000027,NH-54,2026-06-18 06:52:00,Mizoram,Kolasib,19.2,45,9.9,HIGH,TORRENTIAL_RAIN,FAIR,116.4,90.8
T000028,NH-54,2026-06-18 06:54:00,Mizoram,Lunglei,18.6,40,35.2,MODERATE,LIGHT_RAIN,FAIR,31.7,3.8
T000029,NH-08,2026-06-18 06:56:00,Tripura,West Tripura,19.5,65,33.8,MODERATE,HEAVY_RAIN,GOOD,34.6,16.6
T000030,NH-08,2026-06-18 06:58:00,Tripura,Sipahijala,12.2,65,57.2,LOW,LIGHT_RAIN,GOOD,12.8,1.5
T000031,NH-08,2026-06-18 07:00:00,Tripura,Dhalai,17.2,55,12.1,HIGH,TORRENTIAL_RAIN,GOOD,85.3,66.5
T000032,NH-13,2026-06-18 07:02:00,Arunachal Pradesh,Tawang,11.1,35,23.5,MODERATE,CLEAR,POOR,28.3,9.3
T000033,NH-13,2026-06-18 07:04:00,Arunachal Pradesh,West Kameng,12.6,40,16.8,HIGH,MODERATE_RAIN,POOR,45.0,26.1
T000034,NH-415,2026-06-18 07:06:00,Arunachal Pradesh,Papum Pare,17.3,50,37.5,MODERATE,MODERATE_RAIN,FAIR,27.7,6.9
T000035,NH-515,2026-06-18 07:08:00,Arunachal Pradesh,East Siang,5.8,60,45.0,LOW,MODERATE_RAIN,GOOD,7.7,1.9
T000036,NH-13,2026-06-18 07:10:00,Arunachal Pradesh,Lower Subansiri,17.1,40,7.6,STANDSTILL,HEAVY_RAIN,POOR,135.0,109.3
T000037,NH-27,2026-06-18 07:12:00,Assam,Kamrup Metropolitan,12.2,80,60.0,LOW,MODERATE_RAIN,GOOD,12.2,3.0
T000038,NH-27,2026-06-18 07:14:00,Assam,Kamrup Rural,18.8,80,41.6,MODERATE,HEAVY_RAIN,GOOD,27.1,13.0
T000039,NH-15,2026-06-18 07:16:00,Assam,Darrang,14.7,65,57.2,LOW,LIGHT_RAIN,GOOD,15.4,1.8
T000040,NH-15,2026-06-18 07:18:00,Assam,Sonitpur,9.7,70,36.4,MODERATE,HEAVY_RAIN,GOOD,16.0,7.7
T000041,NH-37,2026-06-18 07:20:00,Assam,Dibrugarh,11.8,70,52.5,LOW,MODERATE_RAIN,GOOD,13.5,3.4
T000042,NH-37,2026-06-18 07:22:00,Assam,Cachar,15.7,60,60.0,LOW,CLEAR,GOOD,15.7,0.0
T000043,NH-27,2026-06-18 07:24:00,Assam,Nagaon,7.1,75,16.5,HIGH,TORRENTIAL_RAIN,GOOD,25.8,20.1
T000044,NH-206,2026-06-18 07:26:00,Meghalaya,East Khasi Hills,12.8,40,8.8,HIGH,TORRENTIAL_RAIN,FAIR,87.3,68.1
T000045,NH-127B,2026-06-18 07:28:00,Meghalaya,West Khasi Hills,14.7,45,24.8,MODERATE,LIGHT_RAIN,POOR,35.6,16.0
T000046,NH-06,2026-06-18 07:30:00,Meghalaya,Ri-Bhoi,7.1,65,48.8,LOW,MODERATE_RAIN,FAIR,8.7,2.1
T000047,NH-06,2026-06-18 07:32:00,Meghalaya,West Jaintia Hills,12.5,45,39.6,MODERATE,LIGHT_RAIN,FAIR,18.9,2.2
T000048,NH-10,2026-06-18 07:34:00,Sikkim,East Sikkim,9.1,35,14.7,HIGH,MODERATE_RAIN,POOR,37.1,21.5
T000049,NH-310,2026-06-18 07:36:00,Sikkim,North Sikkim,7.8,30,12.6,HIGH,MODERATE_RAIN,POOR,37.1,21.5
T000050,NH-510,2026-06-18 07:38:00,Sikkim,South Sikkim,13.9,40,26.8,MODERATE,CLEAR,POOR,31.1,10.2
T000051,NH-29,2026-06-18 07:40:00,Nagaland,Kohima,13.1,40,26.8,MODERATE,CLEAR,POOR,29.3,9.6
T000052,NH-29,2026-06-18 07:42:00,Nagaland,Dimapur,15.4,65,33.8,MODERATE,HEAVY_RAIN,GOOD,27.3,13.1
T000053,NH-02,2026-06-18 07:44:00,Nagaland,Mokokchung,8.9,40,16.8,HIGH,MODERATE_RAIN,POOR,31.8,18.5
T000054,NH-02,2026-06-18 07:46:00,Manipur,Imphal West,7.4,60,60.0,LOW,CLEAR,GOOD,7.4,0.0
T000055,NH-02,2026-06-18 07:48:00,Manipur,Bishnupur,14.0,55,55.0,LOW,CLEAR,GOOD,15.3,0.0
T000056,NH-02,2026-06-18 07:50:00,Manipur,Senapati,11.6,45,8.5,HIGH,HEAVY_RAIN,POOR,81.9,66.4
T000057,NH-54,2026-06-18 07:52:00,Mizoram,Aizawl,7.6,40,22.0,MODERATE,LIGHT_RAIN,POOR,20.7,9.3
T000058,NH-54,2026-06-18 07:54:00,Mizoram,Kolasib,10.1,45,9.9,HIGH,TORRENTIAL_RAIN,FAIR,61.2,47.7
T000059,NH-54,2026-06-18 07:56:00,Mizoram,Lunglei,5.9,40,4.0,STANDSTILL,TORRENTIAL_RAIN,POOR,88.5,79.7
T000060,NH-08,2026-06-18 07:58:00,Tripura,West Tripura,7.0,65,14.3,HIGH,TORRENTIAL_RAIN,GOOD,29.4,22.9
T000061,NH-08,2026-06-18 08:00:00,Tripura,Sipahijala,16.4,65,57.2,LOW,LIGHT_RAIN,GOOD,17.2,2.1
T000062,NH-08,2026-06-18 08:02:00,Tripura,Dhalai,7.6,55,12.1,HIGH,TORRENTIAL_RAIN,GOOD,37.7,29.4
T000063,NH-13,2026-06-18 08:04:00,Arunachal Pradesh,Tawang,16.3,35,19.2,HIGH,LIGHT_RAIN,POOR,50.9,23.0
T000064,NH-13,2026-06-18 08:06:00,Arunachal Pradesh,West Kameng,16.7,40,4.0,STANDSTILL,TORRENTIAL_RAIN,POOR,250.5,225.4
T000065,NH-415,2026-06-18 08:08:00,Arunachal Pradesh,Papum Pare,6.4,50,11.0,HIGH,TORRENTIAL_RAIN,FAIR,34.9,27.2
T000066,NH-515,2026-06-18 08:10:00,Arunachal Pradesh,East Siang,19.7,60,45.0,LOW,MODERATE_RAIN,GOOD,26.3,6.6
T000067,NH-13,2026-06-18 08:12:00,Arunachal Pradesh,Lower Subansiri,20.8,40,4.0,STANDSTILL,TORRENTIAL_RAIN,POOR,312.0,280.8
T000068,NH-27,2026-06-18 08:14:00,Assam,Kamrup Metropolitan,20.5,80,17.6,HIGH,TORRENTIAL_RAIN,GOOD,69.9,54.5
T000069,NH-27,2026-06-18 08:16:00,Assam,Kamrup Rural,15.1,80,60.0,LOW,MODERATE_RAIN,GOOD,15.1,3.8
T000070,NH-15,2026-06-18 08:18:00,Assam,Darrang,13.4,65,57.2,LOW,LIGHT_RAIN,GOOD,14.1,1.7
T000071,NH-15,2026-06-18 08:20:00,Assam,Sonitpur,15.0,70,15.4,HIGH,TORRENTIAL_RAIN,GOOD,58.4,45.5
T000072,NH-37,2026-06-18 08:22:00,Assam,Dibrugarh,18.0,70,61.6,LOW,LIGHT_RAIN,GOOD,17.5,2.1
T000073,NH-37,2026-06-18 08:24:00,Assam,Cachar,17.7,60,31.2,MODERATE,HEAVY_RAIN,GOOD,34.0,16.3
T000074,NH-27,2026-06-18 08:26:00,Assam,Nagaon,5.3,75,75.0,LOW,CLEAR,GOOD,4.2,0.0
T000075,NH-206,2026-06-18 08:28:00,Meghalaya,East Khasi Hills,13.8,40,26.8,MODERATE,CLEAR,POOR,30.9,10.2
T000076,NH-127B,2026-06-18 08:30:00,Meghalaya,West Khasi Hills,18.7,45,23.4,MODERATE,HEAVY_RAIN,FAIR,47.9,23.0
T000077,NH-06,2026-06-18 08:32:00,Meghalaya,Ri-Bhoi,19.6,65,57.2,LOW,LIGHT_RAIN,FAIR,20.6,2.5
T000078,NH-06,2026-06-18 08:34:00,Meghalaya,West Jaintia Hills,18.2,45,33.8,MODERATE,MODERATE_RAIN,FAIR,32.3,8.0
T000079,NH-10,2026-06-18 08:36:00,Sikkim,East Sikkim,6.1,35,19.2,HIGH,LIGHT_RAIN,POOR,19.1,8.6
T000080,NH-310,2026-06-18 08:38:00,Sikkim,North Sikkim,21.3,30,4.0,STANDSTILL,TORRENTIAL_RAIN,POOR,319.5,276.9
T000081,NH-510,2026-06-18 08:40:00,Sikkim,South Sikkim,5.3,40,7.6,STANDSTILL,HEAVY_RAIN,POOR,41.8,33.8
T000082,NH-29,2026-06-18 08:42:00,Nagaland,Kohima,6.9,40,7.6,STANDSTILL,HEAVY_RAIN,POOR,54.5,44.1
T000083,NH-29,2026-06-18 08:44:00,Nagaland,Dimapur,17.7,65,57.2,LOW,LIGHT_RAIN,GOOD,18.6,2.3
T000084,NH-02,2026-06-18 08:46:00,Nagaland,Mokokchung,14.4,40,16.8,HIGH,MODERATE_RAIN,POOR,51.4,29.8
T000085,NH-02,2026-06-18 08:48:00,Manipur,Imphal West,15.3,60,45.0,LOW,MODERATE_RAIN,GOOD,20.4,5.1
T000086,NH-02,2026-06-18 08:50:00,Manipur,Bishnupur,20.7,55,48.4,LOW,LIGHT_RAIN,GOOD,25.7,3.1
T000087,NH-02,2026-06-18 08:52:00,Manipur,Senapati,16.6,45,33.8,MODERATE,MODERATE_RAIN,FAIR,29.5,7.4
T000088,NH-54,2026-06-18 08:54:00,Mizoram,Aizawl,9.1,40,4.0,STANDSTILL,TORRENTIAL_RAIN,POOR,136.5,122.8
T000089,NH-54,2026-06-18 08:56:00,Mizoram,Kolasib,10.0,45,23.4,MODERATE,HEAVY_RAIN,FAIR,25.6,12.3
T000090,NH-54,2026-06-18 08:58:00,Mizoram,Lunglei,16.3,40,35.2,MODERATE,LIGHT_RAIN,FAIR,27.8,3.3
T000091,NH-08,2026-06-18 09:00:00,Tripura,West Tripura,17.5,65,33.8,MODERATE,HEAVY_RAIN,GOOD,31.1,14.9
T000092,NH-08,2026-06-18 09:02:00,Tripura,Sipahijala,12.9,65,65.0,LOW,CLEAR,GOOD,11.9,0.0
T000093,NH-08,2026-06-18 09:04:00,Tripura,Dhalai,8.6,55,41.2,MODERATE,MODERATE_RAIN,GOOD,12.5,3.1
T000094,NH-13,2026-06-18 09:06:00,Arunachal Pradesh,Tawang,19.4,35,4.0,STANDSTILL,TORRENTIAL_RAIN,POOR,291.0,257.7
T000095,NH-13,2026-06-18 09:08:00,Arunachal Pradesh,West Kameng,9.8,40,4.0,STANDSTILL,TORRENTIAL_RAIN,POOR,147.0,132.3
T000096,NH-415,2026-06-18 09:10:00,Arunachal Pradesh,Papum Pare,9.2,50,26.0,MODERATE,HEAVY_RAIN,FAIR,21.2,10.2
T000097,NH-515,2026-06-18 09:12:00,Arunachal Pradesh,East Siang,6.3,60,31.2,MODERATE,HEAVY_RAIN,GOOD,12.1,5.8
T000098,NH-13,2026-06-18 09:14:00,Arunachal Pradesh,Lower Subansiri,11.4,40,16.8,HIGH,MODERATE_RAIN,POOR,40.7,23.6
T000099,NH-27,2026-06-18 09:16:00,Assam,Kamrup Metropolitan,12.0,80,41.6,MODERATE,HEAVY_RAIN,GOOD,17.3,8.3
T000100,NH-27,2026-06-18 09:18:00,Assam,Kamrup Rural,17.8,80,17.6,HIGH,TORRENTIAL_RAIN,GOOD,60.7,47.4
T000101,NH-15,2026-06-18 09:20:00,Assam,Darrang,19.6,65,33.8,MODERATE,HEAVY_RAIN,GOOD,34.8,16.7
T000102,NH-15,2026-06-18 09:22:00,Assam,Sonitpur,14.3,70,36.4,MODERATE,HEAVY_RAIN,GOOD,23.6,11.3
T000103,NH-37,2026-06-18 09:24:00,Assam,Dibrugarh,11.6,70,15.4,HIGH,TORRENTIAL_RAIN,GOOD,45.2,35.3
T000104,NH-37,2026-06-18 09:26:00,Assam,Cachar,17.2,60,52.8,LOW,LIGHT_RAIN,GOOD,19.5,2.3
T000105,NH-27,2026-06-18 09:28:00,Assam,Nagaon,9.5,75,56.2,LOW,MODERATE_RAIN,GOOD,10.1,2.5
T000106,NH-206,2026-06-18 09:30:00,Meghalaya,East Khasi Hills,21.1,40,35.2,MODERATE,LIGHT_RAIN,FAIR,36.0,4.3
T000107,NH-127B,2026-06-18 09:32:00,Meghalaya,West Khasi Hills,17.8,45,9.9,HIGH,TORRENTIAL_RAIN,FAIR,107.9,84.2
T000108,NH-06,2026-06-18 09:34:00,Meghalaya,Ri-Bhoi,20.7,65,14.3,HIGH,TORRENTIAL_RAIN,FAIR,86.9,67.8
T000109,NH-06,2026-06-18 09:36:00,Meghalaya,West Jaintia Hills,16.1,45,23.4,MODERATE,HEAVY_RAIN,FAIR,41.3,19.8
T000110,NH-10,2026-06-18 09:38:00,Sikkim,East Sikkim,5.8,35,14.7,HIGH,MODERATE_RAIN,POOR,23.7,13.8
T000111,NH-310,2026-06-18 09:40:00,Sikkim,North Sikkim,15.8,30,4.0,STANDSTILL,TORRENTIAL_RAIN,POOR,237.0,205.4
T000112,NH-510,2026-06-18 09:42:00,Sikkim,South Sikkim,8.5,40,22.0,MODERATE,LIGHT_RAIN,POOR,23.2,10.4
T000113,NH-29,2026-06-18 09:44:00,Nagaland,Kohima,12.9,40,16.8,HIGH,MODERATE_RAIN,POOR,46.1,26.8
T000114,NH-29,2026-06-18 09:46:00,Nagaland,Dimapur,14.9,65,48.8,LOW,MODERATE_RAIN,GOOD,18.3,4.5
T000115,NH-02,2026-06-18 09:48:00,Nagaland,Mokokchung,13.4,40,16.8,HIGH,MODERATE_RAIN,POOR,47.9,27.8
T000116,NH-02,2026-06-18 09:50:00,Manipur,Imphal West,16.3,60,45.0,LOW,MODERATE_RAIN,GOOD,21.7,5.4
T000117,NH-02,2026-06-18 09:52:00,Manipur,Bishnupur,19.9,55,41.2,MODERATE,MODERATE_RAIN,GOOD,29.0,7.3
T000118,NH-02,2026-06-18 09:54:00,Manipur,Senapati,16.3,45,45.0,LOW,CLEAR,FAIR,21.7,0.0
T000119,NH-54,2026-06-18 09:56:00,Mizoram,Aizawl,5.8,40,4.0,STANDSTILL,TORRENTIAL_RAIN,POOR,87.0,78.3
T000120,NH-54,2026-06-18 09:58:00,Mizoram,Kolasib,14.5,45,23.4,MODERATE,HEAVY_RAIN,FAIR,37.2,17.9
T000121,NH-54,2026-06-18 10:00:00,Mizoram,Lunglei,17.1,40,16.8,HIGH,MODERATE_RAIN,POOR,61.1,35.5
T000122,NH-08,2026-06-18 10:02:00,Tripura,West Tripura,12.5,65,14.3,HIGH,TORRENTIAL_RAIN,GOOD,52.4,40.9
T000123,NH-08,2026-06-18 10:04:00,Tripura,Sipahijala,21.7,65,65.0,LOW,CLEAR,GOOD,20.0,0.0
T000124,NH-08,2026-06-18 10:06:00,Tripura,Dhalai,21.4,55,28.6,MODERATE,HEAVY_RAIN,GOOD,44.9,21.6
T000125,NH-13,2026-06-18 10:08:00,Arunachal Pradesh,Tawang,17.1,35,6.6,STANDSTILL,HEAVY_RAIN,POOR,155.5,126.2
T000126,NH-13,2026-06-18 10:10:00,Arunachal Pradesh,West Kameng,5.3,40,7.6,STANDSTILL,HEAVY_RAIN,POOR,41.8,33.8
T000127,NH-415,2026-06-18 10:12:00,Arunachal Pradesh,Papum Pare,17.7,50,37.5,MODERATE,MODERATE_RAIN,FAIR,28.3,7.1
T000128,NH-515,2026-06-18 10:14:00,Arunachal Pradesh,East Siang,19.1,60,45.0,LOW,MODERATE_RAIN,GOOD,25.5,6.4
T000129,NH-13,2026-06-18 10:16:00,Arunachal Pradesh,Lower Subansiri,13.5,40,16.8,HIGH,MODERATE_RAIN,POOR,48.2,28.0
T000130,NH-27,2026-06-18 10:18:00,Assam,Kamrup Metropolitan,16.7,80,80.0,LOW,CLEAR,GOOD,12.5,0.0
T000131,NH-27,2026-06-18 10:20:00,Assam,Kamrup Rural,5.4,80,70.4,LOW,LIGHT_RAIN,GOOD,4.6,0.5
T000132,NH-15,2026-06-18 10:22:00,Assam,Darrang,19.9,65,14.3,HIGH,TORRENTIAL_RAIN,GOOD,83.5,65.1
T000133,NH-15,2026-06-18 10:24:00,Assam,Sonitpur,5.9,70,15.4,HIGH,TORRENTIAL_RAIN,GOOD,23.0,17.9
T000134,NH-37,2026-06-18 10:26:00,Assam,Dibrugarh,12.0,70,52.5,LOW,MODERATE_RAIN,GOOD,13.7,3.4
T000135,NH-37,2026-06-18 10:28:00,Assam,Cachar,14.7,60,45.0,LOW,MODERATE_RAIN,GOOD,19.6,4.9
T000136,NH-27,2026-06-18 10:30:00,Assam,Nagaon,8.0,75,75.0,LOW,CLEAR,GOOD,6.4,0.0
T000137,NH-206,2026-06-18 10:32:00,Meghalaya,East Khasi Hills,16.6,40,4.0,STANDSTILL,TORRENTIAL_RAIN,POOR,249.0,224.1
T000138,NH-127B,2026-06-18 10:34:00,Meghalaya,West Khasi Hills,10.5,45,23.4,MODERATE,HEAVY_RAIN,FAIR,26.9,12.9
T000139,NH-06,2026-06-18 10:36:00,Meghalaya,Ri-Bhoi,8.3,65,33.8,MODERATE,HEAVY_RAIN,FAIR,14.7,7.0
T000140,NH-06,2026-06-18 10:38:00,Meghalaya,West Jaintia Hills,13.4,45,45.0,LOW,CLEAR,FAIR,17.9,0.0
T000141,NH-10,2026-06-18 10:40:00,Sikkim,East Sikkim,13.9,35,6.6,STANDSTILL,HEAVY_RAIN,POOR,126.4,102.6
T000142,NH-310,2026-06-18 10:42:00,Sikkim,North Sikkim,19.8,30,20.1,HIGH,CLEAR,POOR,59.1,19.5
T000143,NH-510,2026-06-18 10:44:00,Sikkim,South Sikkim,16.0,40,4.0,STANDSTILL,TORRENTIAL_RAIN,POOR,240.0,216.0
T000144,NH-29,2026-06-18 10:46:00,Nagaland,Kohima,14.2,40,7.6,STANDSTILL,HEAVY_RAIN,POOR,112.1,90.8
T000145,NH-29,2026-06-18 10:48:00,Nagaland,Dimapur,6.4,65,48.8,LOW,MODERATE_RAIN,GOOD,7.9,2.0
T000146,NH-02,2026-06-18 10:50:00,Nagaland,Mokokchung,11.4,40,20.8,HIGH,HEAVY_RAIN,FAIR,32.9,15.8
T000147,NH-02,2026-06-18 10:52:00,Manipur,Imphal West,15.2,60,52.8,LOW,LIGHT_RAIN,GOOD,17.3,2.1
T000148,NH-02,2026-06-18 10:54:00,Manipur,Bishnupur,20.1,55,12.1,HIGH,TORRENTIAL_RAIN,GOOD,99.7,77.8
T000149,NH-02,2026-06-18 10:56:00,Manipur,Senapati,18.5,45,39.6,MODERATE,LIGHT_RAIN,FAIR,28.0,3.3
T000150,NH-54,2026-06-18 10:58:00,Mizoram,Aizawl,6.2,40,26.8,MODERATE,CLEAR,POOR,13.9,4.6
T000151,NH-54,2026-06-18 11:00:00,Mizoram,Kolasib,7.1,45,9.9,HIGH,TORRENTIAL_RAIN,FAIR,43.0,33.5
T000152,NH-54,2026-06-18 11:02:00,Mizoram,Lunglei,14.8,40,4.0,STANDSTILL,TORRENTIAL_RAIN,POOR,222.0,199.8
T000153,NH-08,2026-06-18 11:04:00,Tripura,West Tripura,17.1,65,57.2,LOW,LIGHT_RAIN,GOOD,17.9,2.1
T000154,NH-08,2026-06-18 11:06:00,Tripura,Sipahijala,9.7,65,33.8,MODERATE,HEAVY_RAIN,GOOD,17.2,8.2
T000155,NH-08,2026-06-18 11:08:00,Tripura,Dhalai,16.1,55,12.1,HIGH,TORRENTIAL_RAIN,GOOD,79.8,62.2
T000156,NH-13,2026-06-18 11:10:00,Arunachal Pradesh,Tawang,17.6,35,23.5,MODERATE,CLEAR,POOR,44.9,14.7
T000157,NH-13,2026-06-18 11:12:00,Arunachal Pradesh,West Kameng,14.1,40,26.8,MODERATE,CLEAR,POOR,31.6,10.5
T000158,NH-415,2026-06-18 11:14:00,Arunachal Pradesh,Papum Pare,5.9,50,50.0,LOW,CLEAR,FAIR,7.1,0.0
T000159,NH-515,2026-06-18 11:16:00,Arunachal Pradesh,East Siang,13.1,60,45.0,LOW,MODERATE_RAIN,GOOD,17.5,4.4
T000160,NH-13,2026-06-18 11:18:00,Arunachal Pradesh,Lower Subansiri,9.1,40,7.6,STANDSTILL,HEAVY_RAIN,POOR,71.8,58.1
T000161,NH-27,2026-06-18 11:20:00,Assam,Kamrup Metropolitan,19.7,80,60.0,LOW,MODERATE_RAIN,GOOD,19.7,4.9
T000162,NH-27,2026-06-18 11:22:00,Assam,Kamrup Rural,7.8,80,41.6,MODERATE,HEAVY_RAIN,GOOD,11.2,5.3
T000163,NH-15,2026-06-18 11:24:00,Assam,Darrang,11.8,65,65.0,LOW,CLEAR,GOOD,10.9,0.0
T000164,NH-15,2026-06-18 11:26:00,Assam,Sonitpur,17.4,70,36.4,MODERATE,HEAVY_RAIN,GOOD,28.7,13.8
T000165,NH-37,2026-06-18 11:28:00,Assam,Dibrugarh,7.8,70,52.5,LOW,MODERATE_RAIN,GOOD,8.9,2.2
T000166,NH-37,2026-06-18 11:30:00,Assam,Cachar,9.7,60,52.8,LOW,LIGHT_RAIN,GOOD,11.0,1.3
T000167,NH-27,2026-06-18 11:32:00,Assam,Nagaon,18.8,75,66.0,LOW,LIGHT_RAIN,GOOD,17.1,2.1
T000168,NH-206,2026-06-18 11:34:00,Meghalaya,East Khasi Hills,21.8,40,7.6,STANDSTILL,HEAVY_RAIN,POOR,172.1,139.4
T000169,NH-127B,2026-06-18 11:36:00,Meghalaya,West Khasi Hills,14.2,45,9.9,HIGH,TORRENTIAL_RAIN,FAIR,86.1,67.2
T000170,NH-06,2026-06-18 11:38:00,Meghalaya,Ri-Bhoi,10.8,65,33.8,MODERATE,HEAVY_RAIN,GOOD,19.2,9.2
T000171,NH-06,2026-06-18 11:40:00,Meghalaya,West Jaintia Hills,9.3,45,9.9,HIGH,TORRENTIAL_RAIN,FAIR,56.4,44.0
T000172,NH-10,2026-06-18 11:42:00,Sikkim,East Sikkim,7.2,35,6.6,STANDSTILL,HEAVY_RAIN,POOR,65.5,53.2
T000173,NH-310,2026-06-18 11:44:00,Sikkim,North Sikkim,21.9,30,16.5,HIGH,LIGHT_RAIN,POOR,79.6,35.8
T000174,NH-510,2026-06-18 11:46:00,Sikkim,South Sikkim,13.3,40,7.6,STANDSTILL,HEAVY_RAIN,POOR,105.0,85.0
T000175,NH-29,2026-06-18 11:48:00,Nagaland,Kohima,17.5,40,22.0,MODERATE,LIGHT_RAIN,POOR,47.7,21.5
T000176,NH-29,2026-06-18 11:50:00,Nagaland,Dimapur,5.3,65,57.2,LOW,LIGHT_RAIN,GOOD,5.6,0.7
T000177,NH-02,2026-06-18 11:52:00,Nagaland,Mokokchung,8.4,40,7.6,STANDSTILL,HEAVY_RAIN,POOR,66.3,53.7
T000178,NH-02,2026-06-18 11:54:00,Manipur,Imphal West,5.8,60,60.0,LOW,CLEAR,GOOD,5.8,0.0
T000179,NH-02,2026-06-18 11:56:00,Manipur,Bishnupur,12.2,55,55.0,LOW,CLEAR,GOOD,13.3,0.0
T000180,NH-02,2026-06-18 11:58:00,Manipur,Senapati,13.7,45,23.4,MODERATE,HEAVY_RAIN,FAIR,35.1,16.8
T000181,NH-54,2026-06-18 12:00:00,Mizoram,Aizawl,19.9,40,16.8,HIGH,MODERATE_RAIN,POOR,71.1,41.2
T000182,NH-54,2026-06-18 12:02:00,Mizoram,Kolasib,21.6,45,23.4,MODERATE,HEAVY_RAIN,FAIR,55.4,26.6
T000183,NH-54,2026-06-18 12:04:00,Mizoram,Lunglei,8.7,40,4.0,STANDSTILL,TORRENTIAL_RAIN,POOR,130.5,117.5
T000184,NH-08,2026-06-18 12:06:00,Tripura,West Tripura,15.3,65,57.2,LOW,LIGHT_RAIN,GOOD,16.0,1.9
T000185,NH-08,2026-06-18 12:08:00,Tripura,Sipahijala,15.9,65,48.8,LOW,MODERATE_RAIN,GOOD,19.5,4.8
T000186,NH-08,2026-06-18 12:10:00,Tripura,Dhalai,19.3,55,55.0,LOW,CLEAR,GOOD,21.1,0.0
